S. No.,Part No.,Description,USD Price
1,ACCS023,Fab st.cvr-Red(grey ,62.90
2,ACCS024,Fab st.cvr-Red(blac ,62.85
3,ACCS025,Fab st.cvr-gry(grey ,62.90
4,ACCS026,Fab st.cvr-Gry(blac ,62.90
5,ACCS027,Fab st.cvr-Grn(grey ,62.90
6,ACCS028,Fab st.cvr-Grn(blac ,62.90
7,ACCS030,IKON CD CHANGER-FMS ,6.12
8,ACCS031,REAR MUDFLAP        ,5.90
9,B00STER,brake booster assy  ,85.96
10,CAL1P01,KIT CALIPERRH       ,52.91
11,CAL1P02,KIT CALIPERLH       ,52.91
12,CANN1ST,cannister assy      ,35.01
13,CGREASE,clare grease-0.5kg  ,71.21
14,C0RTUBE,corr tube 1.8-140mm ,0.68
15,C0VER01,cover &gasket       ,62.30
16,DRSHAFT,drive shaft1.3      ,144.55
17,ENGN1.8,dressed engine 1.8  ,3782.52
18,F0AMPAD,foam pad - rr lamp l,0.10
19,H1NGE01,hinge asy           ,6.54
20,HW1RE01,grounding wire-singl,0.69
21,HW1RE02,groundwire-bothhorns,0.92
22,K1T0001,parts for bodyside s,74.04
23,K1T0002,parts for rear spoil,86.86
24,K1T0003,KIT ALLOY WHEEL 13IN,261.95
25,K1T0004,MUDFLAP KIT(FR+RR)  ,7.60
26,K1T0005,parts for b/s mouldi,7.62
27,K1T0006,parts for Clxi radio,168.09
28,K1T0007,parts for Clxi LH mi,24.32
29,K1T0008,parts for Clxi Rrst ,89.42
30,K1T0009,parts for Clxi P/win,319.29
31,K1T0010,PRTS REMOTEBT CLXI  ,76.61
32,K1T0011,parts for foglamp   ,60.86
33,LWSTR1P,LUGG- weatherstrip  ,10.13
34,NVHJACK,NVH JACKET          ,0.94
35,PEDAB0X,pedal box           ,56.64
36,PKG0028,cart-lamp assy      ,0.03
37,PKG0029,cart-mirrorassembly ,0.03
38,PKG0030,cart-wheel assy     ,0.03
39,PKG0031,cart-wind screen gla,0.03
40,PKG0041,cart-shock absorber ,0.03
41,PKG0042,cart- wheelassembly ,0.03
42,PKG0043,cart-shockabsorber  ,0.03
43,PKG0044,cart-disc frontwheel,0.03
44,PKG0045,cart- headlamp      ,0.03
45,PKG0046,cart - window regu  ,0.03
46,PKG0047,cart-regu window    ,0.03
47,PKG0048,cart-drum&drg cup   ,0.03
48,PRBR005,Ikon flyers         ,0.09
49,PRMA016,Ikon bags           ,0.01
50,PRMA017,ikon Josh Mugs      ,0.01
51,PRMS006,sales prospect cards,0.01
52,PRPA013,Insert IkonCards    ,0.01
53,PRPS011,narain kartikeyan pr,0.01
54,PRPS012,Danglers            ,0.09
55,TSB0040,flylead -multifunc s,0.27
56,TSB0041,headlamp connector  ,1.24
57,W1NREGL,window reg power LH ,42.34
58,W1NREGR,window reg power RH ,42.34
59,WK1T003,WIRING-POWER WINDOW ,12.75
60,ACCS001,BODYSIDE SKIRTS     ,29.22
61,ACCS002,REAR WING SPOILER   ,60.35
62,ACCS003,STEERING WHEEL LEATH,64.66
63,ACCS004,EXHAUST TRIM        ,9.43
64,ACCS005,CARPET FLMATS-A (BLU,18.79
65,ACCS006,CARPET FLMATS-A (RED,17.38
66,ACCS007,CARPET FLMATS-C (GRE,38.41
67,ACCS008,CARPET FLMATS-C (BLU,42.42
68,ACCS009,RUBBER FLMATS-FRT/RR,12.98
69,ACCS010,SEAT COVER-FABRIC   ,67.77
70,ACCS012,FIRST AID KIT       ,7.77
71,ACCS013,MUDFLAPS FRONT      ,5.27
72,ACCS014,BOOT MATS           ,10.47
73,ACCS015,CAR COVER IKON      ,35.08
74,ACCS016,CAR CARE KIT        ,11.00
75,ACCS019,SEAT COVER-LEATHER  ,294.85
76,ACCS021,MUDLFAPS REAR       ,5.60
77,CAT0001,ACCS REPAIR CATALOGU,0.00
78,CAT0009,ACCESSORIESBROCHURE ,0.01
79,C1RBR01,CIRBR01             ,6.05
80,DSBD001,DISPLAY BOARD FOR ST,77.22
81,DSTD006,DISPLAY STAND-4 STAN,664.19
82,FRTST01,FRT SEAT ASY(LOW) RH,226.77
83,FRTST02,FRT SEAT ASY(HIGH)RH,230.51
84,FRTST03,FRT SEAT ASY (LOW) L,239.28
85,FRTST04,FRT SEAT ASY(HIGH)LH,212.84
86,H0RNC0N,HORN JUMPER         ,9.90
87,1ND0006,TOOL KIT            ,6.13
88,1ND0008,FLOOR MATS-GREY     ,14.41
89,1ND0009,PREMIUM FLOOR MAT(GR,19.97
90,1ND0016,CAR WATCH           ,17.99
91,1ND0020,Bezel radiocontrol  ,72.64
92,1ND0022,MUD FLAPS           ,11.64
93,1ND0030,BOOT MATS           ,1.71
94,1ND0036,FLOOR MAT DLX BLK   ,14.41
95,1ND0037,FLOORMAT DLX BLUE   ,6.18
96,1ND0038,PREMIUM FLOOR MAT(BL,1.84
97,1ND0040,HEAVY DUTY FLOOR MAT,1.86
98,1ND0042,RADIO ASSY          ,129.25
99,1ND0044,JUMPER LEADRADIO    ,7.89
100,1ND0046,CD CHANGER          ,74.67
101,1ND0051,CAR COVERS-PREMIUM  ,14.20
102,1ND0055D,COLOR               ,32.95
103,KEYR001,Key ring - Silver   ,0.94
104,KEYR002,Key ring - Gold     ,0.96
105,L1E0002,LUGGAGE TAG         ,0.61
106,L1E0008,SPECTACLE COVER     ,0.40
107,MFLR001,Full Muffler assy   ,372.32
108,MFP004,PARTS PRICE LIST    ,8.12
109,PEN0002,BALLPEN(MAT.BLACK)  ,3.79
