S. No.,Part No.,Description,USD Price,,
1,5001504100,CRB ,6.11,,
2,5001501100,CRB ,16.01,,
3,6243006090,Clutch Set ,48.46,,
4,6223447090,Clutch Set ,40.85,,
5,6223414090,Clutch Set ,40.47,,
6,3220478100,Driven Plate ,20.50,,
7,1280394100,Cover Assem ,46.78,,
8,3280685100,Driven Plate ,50.72,,
9,6283308090,Clutch Set ,92.45,,
10,1280291100,Cover Assem ,39.59,,
11,3280419100,Driven Plate ,32.40,,
12,3280429100,Driven Plate ,30.48,,
13,1310297100,Cover Assem ,54.59,,
14,3310322100,Driven Plate ,41.30,,
15,3310382100,Driven Plate ,43.02,,
16,5001502100,CRB ,7.40,,
17,3240645100,Driven Plate ,22.91,,
18,6243550090,Clutch Set ,56.79,,
19,6243548090,Clutch Set ,59.14,,
20,1280393100,Cover Assem ,45.51,,
21,3280684100,Driven Plate ,47.53,,
22,1240342100,Cover Assem ,37.95,,
23,3240376100,Driven Plate ,23.10,,
24,1240387100,Cover Assem ,38.51,,
25,3240337100,Driven Plate ,26.40,,
26,1280334100,Cover Assem ,53.12,,
27,3280509100,Driven Plate ,56.19,,
28,1240586100,Cover Assem ,34.01,,
29,6163009090,Clutch Set ,24.10,,
30,6263104090,Clutch Set ,79.18,,
31,6263104000,RepSet ,84.86,,
32,1260019100,Cover Assem ,42.22,,
33,3260051100,Driven Plate ,36.86,,
34,1310316100,Cover Assem ,81.05,,
35,3310347100,Driven Plate ,51.32,,
36,5001317100,CRB ,11.79,,
37,5001503100,CRB ,11.35,,
38,5001531100,CRB ,13.15,,
39,6173008090,Clutch Set ,25.72,,
40,6173019090,Clutch Set ,28.25,,
41,6173019000,RepSet ,33.13,,
42,3170043100,Driven Plate ,10.71,,
43,6203413000,Clutch Set ,45.94,,
44,1240259100,Cover Assem ,34.49,,
45,3410005500,Driven Plate ,21.97,,
46,1240322100,Cover Assem ,35.35,,
47,3240308100,Driven Plate ,20.90,,
48,3240320100,Driven Plate ,23.00,,
49,3280420100,Driven Plate ,32.17,,
50,1280312100,Cover Assem ,44.37,,
51,3280412100,Driven Plate ,41.09,,
52,3280620100,Driven Plate ,34.73,,
53,6283142090,Clutch Set ,73.36,,
54,1280430100,Cover Assem ,39.52,,
55,3280849100,Driven Plate ,41.86,,
56,6283358090,Clutch Set ,77.88,,
57,3380214100,Driven Plate ,73.93,,
58,5001314100,CRB ,10.55,,
59,5001324100,CRB ,7.73,,
60,5001536100,CRB ,18.17,,
61,5001538100,CRB ,25.58,,
62,5001533100,CRB ,13.15,,
63,6333231090,Clutch Set ,170.80,,
64,1330294100,Cover Assem ,101.13,,
65,3330262100,Driven Plate ,78.37,,
66,3380224100,Driven Plate ,74.03,,
67,3350365100,Driven Plate ,62.06,,
68,4240021100,Cover Assem ,111.14,,
69,3350355100,Driven Plate ,69.54,,
70,3350288100,Driven Plate ,30.87,,
71,3350376100,Driven Plate ,31.63,,
72,3350292100,Driven Plate ,39.85,,
73,3350290100,Driven Plate ,28.83,,
74,4240022100,Cover Assem ,118.72,,
75,3380215100,Driven Plate ,73.87,,
76,3380198100,Driven Plate ,39.79,,
77,3380203100,Driven Plate ,51.59,,
78,3380217100,Driven Plate ,82.25,,
79,4000582100,Tools ,108.81,,
80,5001514100,CRB ,25.57,,
81,5001515100,CRB ,30.23,,
82,1310292100,Cover Assem ,72.94,,
83,3310279100,Driven Plate ,35.29,,
84,3310249100,Driven Plate ,50.06,,
85,1350280100,Cover Assem ,102.83,,
86,1350281100,Cover Assem ,102.83,,
87,3350363100,Driven Plate ,50.86,,
88,3350287100,Driven Plate ,39.20,,
89,3350374100,Driven Plate ,28.34,,
90,3180224100,Driven Plate ,32.66,,
91,3380210100,Driven Plate ,45.51,,
92,3380222100,Driven Plate ,32.04,,
93,3300156100,Driven Plate ,37.64,,
94,3350299100,Driven Plate ,29.97,,
95,4340406100,Back Plate ,27.12,,
96,4340407100,Face Plate ,25.03,,
97,4340410100,Back Plate ,29.31,,
98,4340411100,Face Plate ,29.04,,
99,4340409100,Back Plate ,39.28,,
100,4340408100,Face Plate ,18.78,,
101,4340413100,Back Plate ,40.55,,
102,4340412100,Face Plate ,23.01,,
103,4340414100,Withdrawl Pl ,3.74,,
104,4341030100,Withdrawl Pl ,4.55,,
105,4340415100,Withdrawl Pl ,3.54,,
106,4240017100,Repair Kit ,14.46,,
107,4240019100,Repair Kit ,14.74,,
108,4240018100,Spring Kit ,8.25,,
109,4240020100,Spring Kit ,10.52,,
110,4160114100,Flywheel ,123.79,,
111,4160115100,Flywheel ,141.94,,
112,1330291100,Cover Assem ,74.33,,
113,3330257100,Driven Plate ,59.20,,
114,1360227100,Cover Assem ,79.88,,
115,3360031100,Driven Plate ,87.28,,
116,1400256100,Cover Assem ,165.21,,
117,3400110100,Driven Plate ,107.38,,
118,5001516100,CRB ,32.55,,
119,5001468100,CRB ,13.77,,
120,5001340100,CRB ,8.27,,
121,5001337000,CRB ,27.82,,
122,5001537100,CRB ,25.14,,
123,5001529100,CRB ,33.62,,
124,5001530100,CRB ,34.40,,
125,5001532100,CRB ,12.61,,
126,3310276100,Driven Plate ,29.32,,
127,3310298100,Driven Plate ,26.43,,
128,3310299100,Driven Plate ,31.49,,
129,1310270100,Cover Assem ,81.68,,
130,3310282100,Driven Plate ,53.52,,
131,1330267100,Cover Assem ,72.03,,
132,1330276100,Cover Assem ,86.21,,
133,3300123100,Driven Plate ,56.09,,
134,3330232100,Driven Plate ,38.45,,
135,3330242100,Driven Plate ,62.81,,
136,4000581100,Tools ,193.42,,
137,3320018100,Driven Plate ,27.78,,
138,3380221100,Driven Plate ,64.71,,
139,5001513100,CRB ,6.75,,
140,1420233200,Cover Assem ,110.15,,
141,1429234200,Cover Assem ,145.48,,
142,1429235200,Cover Assem ,145.83,,
143,3350346100,Driven Plate ,65.82,,
144,3350369100,Driven Plate ,70.74,,
145,1380221100,Cover Assem ,144.75,,
146,3380216100,Driven Plate ,77.00,,
147,3380218100,Driven Plate ,78.44,,
148,3380233100,Driven Plate ,79.60,,
149,4160353100,Flywheel ,82.01,,
150,4160109100,Flywheel ,56.64,,
151,4160113100,Flywheel ,73.24,,
152,4160110100,Flywheel ,63.47,,
153,4160112100,Flywheel ,73.93,,
154,4330336100,Lever Kit ,15.84,,
155,4340417100,Lever Kit ,8.93,,
156,4340424100,Lever Kit ,23.72,,
157,4340425100,Lever Kit ,16.79,,
158,4340418100,Spring Kit ,10.57,,
159,4340426100,Spring Kit ,19.15,,
160,4340419100,Spring Kit ,9.03,,
161,4340380100,Lever Ring ,4.38,,
162,5001172100,Lever Kit ,29.64,,
163,4340309100,Lever Kit ,26.05,,
164,4340310100,Lever Kit ,19.86,,
165,4340538100,Spring kit ,27.60,,
166,4340539100,Lever Kit ,6.67,,
167,4340422100,Press Plate ,32.96,,
168,4340423100,Press Plate ,41.43,,
169,4340420100,Press Plate ,26.85,,
170,4340421100,Press Plate ,32.04,,
171,4340536100,Press Plate ,68.03,,
172,3400090100,Driven Plate ,104.98,,
173,1400228100,Cover Assem ,168.44,,
174,1430377100,Cover Assem ,168.44,,
175,3430263100,Driven Plate ,192.85,,
176,1439310100,Cover Ass Cl ,459.96,,
177,3430205100,Driven Plate ,378.95,,
178,6203431090,Clutch Set ,27.90,,
179,5110353100,CMC ,19.74,,
180,6183029090,Clutch Set ,30.41,,
181,6203071090,Clutch Set ,43.44,,
182,6213007090,Clutch Set ,79.77,,
183,6213134090,Clutch Set ,54.53,,
184,6213134330,Rep Set Pro ,74.68,,
185,6223466090,Clutch Set ,40.07,,
186,6223466330,Rep Set Pro ,62.35,,
187,5000497600,CRB ,14.47,,
188,5001306100,CRB ,8.20,,
189,6233223090,Clutch set ,53.08,,
190,6223445090,Clutch Set ,49.75,,
191,6223448090,Clutch Set ,72.73,,
192,6223460090,Clutch Set ,58.08,,
193,5000668100,CRB ,22.35,,
194,6223229000,Rep Set ,90.09,,
195,6183069090,Clutch Set ,22.66,,
196,6244016090,Clutch Set ,80.60,,
197,6263051090,Clutch Set ,91.97,,
198,5001223100,CRB ,11.43,,
