Sno,Partno,Description,Price
1,44500,OIL FLTR STP WR,52.55
2,47600,EXTRACTOR-BALL,82.72
3,55401,MS. 554-01,38.94
4,55407,COOLINGCR TSTR,24.06
5,57422,TOOL,51.17
6,58000,WEIGHT-INERTIA,270.76
7,58201,FLYWHEEL LOCKER,15.31
8,58300,PIPE CLAMP,67.33
9,60401,TOOL-HUB LCK,34.96
10,83605,GAUGEKIT-OIL PR,583.49
11,88000,TOOL-PIN EXTRCT,89.53
12,99003,TOOL-CR SEAL,105.37
13,100001,TOOL,138.78
14,101800,MOTEUR 8MM,23.63
15,105004,TOOL-UNV DR SFT,317.47
16,112901,TOOL-CRNK SEAL,95.38
17,116800,PILER-CLIP TYPE,47.52
18,117000,TOOL,81.01
19,117500,TOOL,1.71
20,119901,CUTTER-EXH PIPE,243.21
21,120201,PILER-HOSE CLP,4.21
22,120202,PILER-HOSE CLP,41.22
23,125700,CLAMP-ROOM FUS,3.72
24,126500,PLIERS FOR DISC,16.7
25,126501,PLIERS FOR DISC,19.28
26,128700,SRS DESTROYER,38.59
27,131101,TOOL,782.83
28,131108,UNION-FUEL PR,3.71
29,131900,TOOL MOT131900R,419.91
30,132900,FILTER REMOVER,29.7
31,133000,OIL FILTER REMO,26.85
32,133500,PILER-VLV SEAL,22.71
33,137900,TOOL MOT 1379,74.54
34,138200,PLUG WRENCH,596.69
35,138201,PLUG SPANNER,2.77
36,138500,TOOL-CRNK SEAL,47.5
37,139000,SPRT-ENG GR BOX,774.07
38,139700,UNIV SPANNER.,71.75
39,142001,SCR JACK TOOL,308.4
40,143000,TIMING PINS,29.44
41,143100,FLYWHEEL LOCKER,34.27
42,145300,SPRT-ENG ANC,450.91
43,145301,NUT-ADDNL HNDL,22.41
44,148501,OIL JET REMOVER,30.7
45,148900,TDC LOCATER,23.8
46,149001,"PULLEY LOCK,ADJ",29.03
47,149200,TOOL FOR FITTIN,77.48
48,149301,TOOL,18.98
49,149302,CENTERING TOOL,21.59
50,149400,TOOL,68.17
51,149501,22M SCKT 02 SEN,35.48
52,149600,CAM TIMING TOOL,64.83
53,150400,TOOL,126.89
54,151100,TOOL-STEM VLV,6.86
55,151200,TOOL-EXH CAM,12.4
56,152100,PLIER CLIP,29.88
57,152500,GEAREXTRACTOR,73.51
58,153300,TOOL 1533,60.58
59,155400,BVI 1554,267.94
60,156700,REMOTE PILERS,80.07
61,157700,EXTRACTOR-LIP,139.89
62,157800,TOOL,12.36
63,157900,EXTRACTOR-LIP,488.72
64,158500,TOOL-PTFE SEAL,88.44
65,158600,TOOL-PTFE SEAL,39.63
66,159200,TOOL,60.5
67,159300,BATTERY TESTER,1938.03
68,160100,BVI 1601,46.66
69,160400,CLUTCH COMPRESS,80.24
70,163200,TOOL-PTFE SEAL,41.43
71,163800,BLT TENSION GAU,19.66
72,165400,FILTER REMOVER,51.59
73,165800,TOOL HDG,9.01
74,166600,INSTL -OIL SEAL,67.68
75,167200,ENGINE SUPPORT,240.75
76,167700,IMMOBILIZER,39.24
77,168900,DIFF OUTLT SEAL,57.6
78,1216401,TOOL BVI 2201,34.66
79,3834280,"SEAL-OIL,DIFF",16.41
80,83032200,PIN-SPRING,1.12
81,92211700,RING-SNAP,0.92
82,92213000,RING-SNAP,0.6
83,92250410,CLAMP CONTROL,0.69
84,92250500,RING-SNAP,0.23
85,92250610,RING-SNAP,0.81
86,92310810,PIN-SNAP,0.81
87,009231081A,PIN-SNAP.,0.81
88,92651600,KEY,0.87
89,93311200,PLUG,0.76
90,93311290,PLUG-WRENCH,0.69
91,009331181A,PLUG,0.64
92,93311890,PLUG-WRENCH,0.73
93,009331221A,PLUG WELCH,1.43
94,93312590,PLUG-WRENCH,0.92
95,009331281A,PLUG,0.55
96,93313090,PLUG-WRENCH,0.73
97,111100182,BOLT,2.42
98,111100981,BOLT-HEX M8X1.2,3.19
99,0111100Q0F,SCREW,0.81
100,0111100Q0H,BOLT.,1.67
101,111101131,BOLT,0.69
102,111101511,BOLT,1.63
103,111500271,SCREW,0.7
104,112100035,BOLT,0.87
105,112100503,BOLT,2.77
106,112100691,BOLT,1.12
107,112100743,BOLT,0.72
108,112100751,BOLT,0.73
109,112100772,BOLT-HEX HD W/W,1.18
110,0112100Q0A,BOLT-ENGINE SLI,5.14
111,0112100Q0C,BOLT,1.42
112,0112100Q0D,BOLT,0.69
113,0112100Q0F,BOLT,0.53
114,0112100Q1D,BOLT,2.21
115,0112100Q1E,BOLT,1.9
116,0112100Q1J,BOLT,2.76
117,0112100Q2C,BOLT,3.71
118,0112100Q4A,BOLT,2.81
119,0112100Q4F,SCREW,1.67
120,0112100Q5G,BOLT,1.74
121,0112100Q5H,SCREW,1.76
122,0112100Q5J,BOLT,1.74
123,0112100Q6C,BOLT,0.18
124,0112100Q6F,STUD,2.81
125,0112100Q7B,BOLT,7.75
126,0112100Q8L,BOLT-TENSIONER,4.67
