S. No.,Part No.,Description,USD Price,,
1,SP1062,ELANTRA T1 (04-07),7.56,,
2,SP1076-R,ACCORD Old Model,12.05,,
3,SP1142,LANCER 90-04 (D602),8.42,,
4,SP1151,REXTON R,12.05,,
5,SP1158,BEAT / AVEO,11.37,,
6,SP1160,OPTRA,11.20,,
7,SP1171,REXTON,16.38,,
8,SP1182,SONATA  EMBERA NF 16 INCH (05-11),13.43,,
9,SP1204,CAPTIVA,17.42,,
10,SP1205,CAPTIVA,11.20,,
11,SP1237,CRV Type 1,16.04,,
12,SP1243,LOGAN,11.70,,
13,SP1249,KOLEOS / XTRIAL T30,18.46,,
14,SP1250,KOLEOS / XTRIAL T30,11.20,,
15,SP1257,OPTRA MAGNUM,11.20,,
16,SP1260,ECO SPORTS,14.82,,
17,SP1361,PAJERO SPORT,14.65,,
18,SP1362,CRUZE,14.47,,
19,SP1363,CRUZE,12.05,,
20,SP1390,FLUENCE,14.47,,
21,SP1392,SPARK 09-,12.39,,
22,SP1401,FLUIDIC VERNA / FLUIDIC ELANTRA T2 (12-15),11.20,,
23,SP1479,ENDEAVOUR,13.95,,
24,SP1500,AURIS 09- ,16.04,,
25,SP1501,COROLLA ALTIS,12.39,,
26,SP1502,COROLLA ALTIS,15.69,,
27,SP1565,FIESTA DSL / FIGO DSL,15.34,,
28,SP2012,CIVIC FRT /ACCORD TYPE 2,16.73,,
29,SP2025,OCTAVIA/Audi 4,14.30,,
30,SP2031,MONDEO 00- R,13.61,,
31,SP2037,CAMRY 02-06 Old,14.47,,
32,SP2038,CAMRY 02-06 Old,10.16,,
33,SP2040,FORTUNER/ LAND CRUISER ,11.37,,
34,SP2080,CAMRY 07-  New Model,17.77,,
35,SP2081,CAMRY /RAV4 06- New Model,12.05,,
36,SP2097,SUPERB -  W/O WIRE /A3 (D687),18.64,,
37,SP1159,OPTRA,13.09,,
38,SP2033,FORTUNER,17.60,,
39,SP2101-F,MONDEO 08- (D1306),19.14,,
40,SP2144,AUDI A4 2013,0.00,,
41,SP2145,Q5 / A4 /S5 08- (D1322),24.00,,
42,SP2146,"A4 (8K2,B8) 07- R (D1386)",24.52,,
43,SP2158,3 E90/ 120I (E87) 03-12 R (D1267),18.46,,
44,SP2168,X3 E83/330D (E46) 99-05 R (D683),21.91,,
45,SP2172,X6 E70 / X5 07-09 (D1294),31.95,,
46,SP2210,5 E60 / (E90) 05-07 (D1260),26.25,,
47,SP2263,Q3,14.47,,
48,SP2264,Q3,26.58,,
49,SP1152,ELANTRA T1 (04-07),11.81,,
50,SP1194,SANTA FE ,18.29,,
51,SP1247,SANTA FE ,11.62,,
52,SP1270,COROLLA 98-02 ,17.58,,
53,SP1391,OCTAVIA/Audi 4,10.54,,
54,SP1409,D-MAX 08- ,15.05,,
55,SP1595,POLO,14.86,,
56,SP1699,"5 (F10,F18) 10- ",28.91,,
57,SP2001A,"A4(8E2,B6) 01-04 (D840) / SUPERB /PASSAT   W/WIRE",27.66,,
58,SP2075,MONTERO / PAJERO N/M 01-06 (D867),12.89,,
59,SP2093,COROLLA 06- (D1210),12.53,,
60,SP2094,TOYOTA COROLLA 09- R (D1354),14.69,,
61,SP2103,CIVIC FRT /ACCORD TYPE 2,13.78,,
62,SP2112-F,"A6 4F2, 4F5/ A4 05-06 (D1111)",26.38,,
63,SP2112-R,A6 / A8 /A4 05-06 R,14.15,,
64,SP2115,CRV TYPE 3,18.66,,
65,SP2116,CRV TYPE 3,11.62,,
66,SP2157,5 E60 / 535 XDRIVE 09- R (D1042),19.20,,
67,SP2160,3 E90 320i  318i (E90) 05-07 (D1228),19.74,,
68,SP2161,3 E90 320i / 316i (E90) 06-11 R (D1226),15.94,,
69,SP2163,5 E60/ 330I (E90) 05-11 (D918),28.74,,
70,SP2165,530i 04-07 R (D1042),21.35,,
71,SP2197,Q7 / TOUREG ,52.13,,
72,SP2198,Q7 / TOUREG ,38.62,,
73,SP2212,"7 F01/ 530i (F10,F18) 11- (D1409)",31.78,,
74,SP4102,SANTAFE 6 CYL 17- (D1917) (13-18),19.54,,
75,SA167,FORTUNER 05- R (K2395),32.15,,
76,SA191,DUSTER  /CAPTUR 13- R,22.78,,
77,SA129,BEAT / AVEO,14.65,,
78,SA046,VERNA,12.49,,
