S. No.,Part No.,Description,USD Price,
1,6243006090,Clutch Set,45.19,
2,6244006000,Repset,48.45,
3,6223447090,Clutch Set,38.11,
4,6223447000,Repset,41.74,
5,6223414090,Clutch Set,37.34,
6,6223414000,Repset ,40.67,
7,3220478100,Driven Plate,19.14,
8,1280394100,Cover Assembly,44.70,
9,3280685100,Driven Plate,48.45,
10,6283308090,Clutch Set,88.35,
11,3310385100,Driven Plate,76.24,
12,1310325100,Cover Assembly,89.91,
13,6333231090,Clutch Set,141.49,
14,1330294100,Cover Assembly,79.95,
15,3330262100,Driven Plate,65.67,
16,4240021100,Cover Assembly,107.81,
17,3350355100,Driven Plate,67.56,
18,3350288100,Driven Plate,29.80,
19,3350376100,Driven Plate,27.32,
20,3350365100,Driven Plate,60.45,
21,3350292100,Driven Plate,39.01,
22,4240022100,Cover Assembly,114.60,
23,3380215100,Driven Plate,74.11,
24,3380198100,Driven Plate,38.75,
25,3380203100,Driven Plate,50.99,
26,3380217100,Driven Plate,79.40,
27,4000582100,Tools,115.97,
28,1310292100,Cover Assembly,62.47,
29,3310279100,Driven Plate,37.21,
30,3310249100,Driven Plate,48.79,
31,1350280100,Cover Assembly,100.18,
32,1350281100,Cover Assembly,100.18,
33,3350363100,Driven Plate,49.81,
34,3350287100,Driven Plate,37.44,
35,3350374100,Driven Plate,27.60,
36,3380210100,Driven Plate,43.52,
37,3380222100,Driven Plate,30.65,
38,3300156100,Driven Plate,35.99,
39,4340406100,Back Plate,26.18,
40,4340407100,Face Plate,23.34,
41,4341157100,Face Plate,27.07,
42,4340156100,Back Plate,37.01,
43,4340408100,Face Plate,18.17,
44,4341155100,Back Plate,37.81,
45,4340412100,Face Plate,21.46,
46,4340414100,Withdrawl Plate,3.61,
47,4341030100,Withdrawl Plate,4.38,
48,4340415100,Withdrawl Plate,3.33,
49,4240017100,Repair Kit,13.50,
50,4240018100,Spring Kit,7.98,
51,4240020100,Spring Kit,10.14,
52,4160114100,Flywheel,120.61,
53,4160115100,Flywheel,133.61,
54,7220940100,Detent Pin,24.64,
55,6173019090,Clutch Set,25.97,
56,6173019000,RepSet,30.45,
57,3170043100,Driven Plate,9.97,
58,6203413000,Clutch Set,43.90,
59,1240259100,Cover Assembly,32.64,
60,3240889100,Driven Plate,21.10,
61,6244061090,Clutch Set,48.89,
62,1240322100,Cover Assembly,34.45,
63,3240308100,Driven Plate,20.38,
64,3240320100,Driven Plate,22.50,
65,1280312100,Cover Assembly,41.96,
66,3280848100,Driven Plate,38.35,
67,6283142090,Clutch Set,70.40,
68,1280430100,Cover Assembly,37.39,
69,3280849100,Driven Plate,39.60,
70,6283358090,Clutch Set,73.66,
71,1310293100,Cover Assembly,58.77,
72,3310276100,Driven Plate,28.98,
73,3310298100,Driven Plate,25.26,
74,3310299100,Driven Plate,28.58,
75,1310270100,Cover Assembly,79.99,
76,3310282100,Driven Plate,52.13,
77,1330276100,Cover Assembly,84.00,
78,3300123100,Driven Plate,60.25,
79,3300270100,Driven Plate,35.92,
80,3330242100,Driven Plate,58.05,
81,4000581100,Tools,176.57,
82,3310388100,Driven Plate,26.57,
83,6313196090,Clutch Set,78.97,
84,1420233200,Cover Assembly,108.90,
85,1429235200,Cover Assembly,141.45,
86,3350346100,Driven Plate,62.60,
87,3350379100,Driven Plate,67.94,
88,3350369100,Driven Plate,68.89,
89,3380221100,Driven Plate,60.93,
90,4341216100,Friction material (Facing) – 380 Dia High Copper,16.73,
91,1380221100,Cover Assembly,136.37,
92,3380218100,Driven Plate,75.40,
93,3380233100,Driven Plate,77.95,
94,3430287100,Driven Plate,144.46,
95,4160353100,Flywheel,78.43,
96,4160109100,Flywheel,55.48,
97,4160113100,Flywheel,71.07,
98,4160112100,Flywheel,70.74,
99,4330336100,Lever Kit,15.16,
100,4340417100,Lever Kit,8.25,
101,4340424100,Lever Kit,22.69,
102,4340425100,Lever Kit,16.08,
103,4340418100,Spring Kit,10.09,
