Sno,Partno,Description,Price
1,04000-44112,"INFLATOR ASSY KIT,IN",24.91
2,04002-13142,"BOARD, POWER WINDOW",20.39
3,04002-15142,"BOARD, POWER WINDOW",21.14
4,04002-18242,GREASE,225.88
5,04002-18342,"SCREW, TAPPING",2.88
6,04003-4110D,SPRING KIT SHOE HOLD DOWN,5.06
7,04004-07122,SPIRAL CABLE FLD KIT,20.47
8,04004-2810N,TURBOCHARGER ASSY,1483.34
9,04004-2840W,"PUMP ASSY,VACCUM",135.93
10,04004-43833,TURBOCHARGER KIT,14.93
11,04004-50133,INTERCOOLER ASSY,185.76
12,04004-57333,INTERCOOLER KIT,154.78
13,04004-70133,INTERCOOLER KIT,18.64
14,04004-70233,INTERCOOLER KIT,9.25
15,04005-25205,"NUT KIT, FLANGE",0.38
16,04006-66112,INFLATOR ASSY KIT,84.01
17,04007-07912,INFLATOR ASSY KIT,75.14
18,04007-1Z202,"SENSOR, AIRBAG, FR",14.46
19,04007-2C112,INSTR PANEL AIR BAG,75.12
20,04111-05040,"GASKET KIT, ENG O/H",146.33
21,04111-0C128,"GASKET KIT, ENGINE O",131.12
22,04111-0E050,GASKET KIT ENGINE,68.12
23,04111-0L082,"GASKET KIT, ENGINE O",131.12
24,04111-0L083,"GASKET KIT, ENGINE O",131.12
25,04111-0L084,"GASKET KIT, ENGINE O",131.12
26,04111-0L202,"GASKET KIT, ENGINE O",125.28
27,04111-0L211,"GASKET KIT, ENGINE O",125.13
28,04111-0L213,"GASKET KIT, ENGINE O",125.13
29,04111-0Y010,"GASKET KIT,ENGINE",43.98
30,04111-22152,"GASKET KIT, ENGINE",138.66
31,04111-22513,"GASKET KIT,ENGINE",138.66
32,04111-28130,"GASKET KIT, ENGINE",173.14
33,04111-28133,"GASKET KIT, ENGINE",173.14
34,04111-28824,"GASKET KIT, ENGINE",173.51
35,04111-33172,"GASKET KIT,ENGINE",51.65
36,04111-36115,"GASKET KIT, ENGINE",162.96
37,04111-36125,"GASKET KIT,ENGINE",166.76
38,04111-37097,"GASKET KIT, ENGINE",119.68
39,04111-47111,"GASKET KIT, ENGINE",43.98
40,04111-54300,"GASKET KIT, ENGINE",168.56
41,04111-54301,"GASKET KIT, ENGINE",168.56
42,04111-54302,"GASKET KIT,ENGINE",168.56
43,04111-54303,"GASKET KIT,ENGINE",168.56
44,04111-54690,"GASKET KIT, ENGINE",192.68
45,04111-67041,"GASKET KIT, ENGINE",138.77
46,04130-0Y010,"RING SET, SINGLE PIS",4.71
47,04130-33010,"RING SET, SINGLE",7.85
48,04130-33020,"RING SET, SINGLE",7.85
49,04130-33030,"RING SET, SINGLE",7.85
50,04152-31090,"ELEMENT KIT,OIL",8.45
51,04152-YZZA1,"MVP ELEMENT KIT, OIL",8.45
52,04152-YZZA4,"MVP ELEMENT KIT, OIL",9.52
53,04152-YZZA6,"MVP ELEMENT KIT, OIL",7.08
54,04152-YZZA8,"MVP ELEMENT KIT, OIL",5.89
55,04175-0E011,"GASKET KIT, TURBOCHA",61.66
56,04175-0L042,"GASKET KIT, TURBO CH",47.28
57,04226-0L010,"VALVE KIT, SUCTION C",210.17
58,04234-0B010,PREFILTER ELEMENT KIT,6
59,04331-0K200,"GASKET KIT, MANUAL T",16.04
60,04331-0K410,"GASKET KIT, MANUAL T",6.2
61,04331-20250,"GASKET KIT,",22.01
62,04331-20270,"GASKET KIT,OVERHAUL",22.01
63,04331-71070,"GASKET KIT,MANUAL",13.69
