S. No.,Part No.,Description,USD Price,,
1,03D198819C,OIL FILTER POLO PETROL,1.24,,
2,04E115561H,OIL FILTER,1.29,,
3,6R0941511,MOUNTING CLIP,1.33,,
4,5Z18575379B9,ORVM CAP OLD MODEL LH,1.44,,
5,5Z1857538B9B9,ORVM CAP OLD MODEL RH,1.44,,
6,6RF857537GRU,MIRROR CAP,3.98,,
7,6RF857538GRU,MIRROR CAP,3.98,,
8,036129620K,AIR FILTER ELEMENT,4.99,,
9,04C129620E,AIRFILTER,4.99,,
10,5JF129620A,AIRFILTER,4.99,,
11,03L903137T,RIBBEDBELT FAN BELT DIESEL,5.91,,
12,6RF129620,AIR FILTER ELEMENT,6.05,,
13,G013040M2,COOLANT,6.62,,
14,03C115561H,OIL FILTER VENTO PETROL,6.98,,
15,03L115562,FILTERELEM,7.24,,
16,03P115562,FILTERELEM,7.24,,
17,1J0512149B,PACKING,7.24,,
18,6R0820367,DUST AND POLLEN FILTER INSERT,9.27,,
19,5Z0857511C9B9,MIRROR CABIN,10.39,,
20,6Q0201051J,FUELFILTER,12.07,,
21,03L109119E,TOOTH BELT,12.76,,
22,1K0937629A,FUSE,13.22,,
23,6RU698647,1 SET: GUIDE BUSHES,13.28,,
24,03L103383DA,GASKET,17.98,,
25,6RU845297CNVB,SIDE WINDOW,19.36,,
26,02A141165M,RELEASE BEARING,21.22,,
27,1J0412331C,MOUNTING,21.27,,
28,6RF407625A,ANGULAR BALL BEARING,24.55,,
29,6RF945112F,"TAIL LIGHT WITH FOGLIGHT, RIGHT",27.82,,
30,03L957147A,SENDER,32.05,,
31,6RG945096G,TAIL LIGHT WITH FOGLIGHT,32.58,,
32,6RF127400A,FUEL FILTER,33.19,,
33,6RF945095H,TAILLIGHT NEW VENTO,35.62,,
34,6RF945096K,TAILLIGHT NEW VENTO,35.62,,
35,03L121065AJ,PIPE,35.70,,
36,6RW945095,"TAIL LIGHTS WITH REVERSING LIGHTS, LEFT",37.31,,
37,6RW945096,"TAIL LIGHT WITH FOGLIGHT, RIGHT",37.31,,
38,6RF199262R,ENG.MOUNTI,40.78,,
39,6RG941017,HALOGEN HEADLIGHTS,41.93,,
40,6RG941018,HALOGEN HEADLIGHTS,41.93,,
41,6R0827505E9B9,LATCH LID POLO,49.00,,
42,03P121111E,THERMOSTAT ELBO,49.74,,
43,03P103383H,GASKET,51.00,,
44,WHT003861,SENSOR,56.13,,
45,6RG941017A,HALOGEN HEADLIGHTS,57.04,,
46,6RG941007,HEADLAMP,99.93,,
47,03L130235AN,PIPE,113.06,,
48,3G0857511ESMA,MIRROR,419.83,,
49,6R0809561,BRACKET - FENDER,0.36,,
50,867827500A,BUMPER,1.09,,
51,6RG805931,BRACE,3.18,,
52,6RG805932B,BRACE,3.18,,
53,6RF412319,STOP,3.26,,
54,6RG837205GRU,"DOOR HANDLE, EXTERIOR",4.28,,
55,101905601F,SPARK PLUG,4.36,,
56,6RG805071B,MOUNTING FOR MAIN BEAM HEADL.,6.28,,
57,6RG805072B,MOUNTING FOR MAIN BEAM HEADL.,6.28,,
58,6RG8536779B9,GRILLE BUMPER OLD POLO BLACK,7.41,,
59,6R0809857H,"FUEL FILLER FLAP, RIGHT REAR",9.15,,
60,6R0819703AFBIO,HOUSING AIR VENT,9.95,,
61,6RU8059159B9,RETAINER FOR SPOILER,10.25,,
62,6RG8059159B9,RETAINER,10.25,,
63,6RU898393,1 SET OF GUIDE PROFILES,10.43,,
64,6RG809957,WHEEL HOUSING LINER,10.62,,
