Sr. No.,Part,Source,HSNCode,Part Description,Model,USD PRICE
1,1002439,O,87089900,ALLOY WHEEL,VECTRA,215.74
2,1006709,O,87089900,WHEEL CAP MY99,ASTRA,9.02
3,1006794,O,87089900,CAP A WHEEL,ASTRA,42.31
4,1006867,O,87089900,HUB COVER WHEEL,ASTRA,40.69
5,1006870,O,87089900,COVER WHEEL HUB CORSA,CORSA,23.14
6,1008504,O,87089900,HEX HEAD SCREW M13,ASTRA,2.73
7,1010702,O,87089900,VALVE TYRE 43 MM LOG LOW TYRE,VECTRA,1.24
8,1010718,O,87089900,VALVE TYRE W SENSOR 433 MHZ,VECTRA,103.23
9,1012331,O,87089900,WEIGHT 20 GRAM WHL BAL SPORTS,CORSA,2.24
10,1012333,O,87089900,WEIGHT ASM 30GRAMS,ASTRA,3.51
11,1012334,O,87089900,WEIGHT ASSY 35 GRAMS SPORTS,ASTRA,1.66
12,1012336,O,87089900,WEIGHT ASSY 45 GRAMS,ASTRA,1.88
13,1012358,O,87089900,WEIGHT ASSY 30 GMS,ASTRA,2.20
14,1012359,O,87089900,BALANCE WEIGHT A 20 GRAMS,ASTRA,1.69
15,1012368,O,87089900,WEIGHT ADH,ASTRA,2.27
16,1012374,O,87089900,WEIGHT ASSY 40 GRAMS SPORTS,ASTRA,1.75
17,1012375,O,87089900,WEIGHT ASSY45 GRAMS SPORTS,ASTRA,1.83
18,1012376,O,87089900,WEIGHT 50 GRAM WHL BAL SPORTS,CORSA,0.93
19,1012377,O,87089900,WEIGHT ASSY 55 GRAMS,ASTRA,3.58
20,1012380,O,87089900,WEIGHT ASM WHEEL BAL 5 GRAMS,ASTRA,1.30
21,1012385,O,87089900,WEIGHT ASM WHEEL BAL 50GM,ASTRA,2.79
22,1012397,O,87089900,WEIGHT ASM 60 GRAMS,ASTRA,2.14
23,1012429,O,87089900,WEIGHT ASM 5 GRAMS SPORTS,ASTRA,2.06
24,1012432,O,87089900,WEIGHT,CORSA,2.24
25,1012436,O,87089900,WEIGHT ASM 40 GRAMS,ASTRA,3.30
26,1012448,O,87089900,WEIGHT ASM WHEEL BAL 40 GRAM,ASTRA,2.57
27,1012452,O,87089900,WEIGHT,ASTRA,3.05
