"Group","Category","Sub Category","PART-NO","ENG-NO","DESC","HSN Code","Inv_Sts","USD PRICE","",""
"Accessories","Protection","Seat Covers","ACCS023","ACCS023                  ","Fab st.cvr-Red(grey ","94012000","ONR","62.90","",""
"Accessories","Protection","Seat Covers","ACCS024","                         ","Fab st.cvr-Red(blac ","94012000","ONR","62.85","",""
"Accessories","Protection","Seat Covers","ACCS025","                         ","Fab st.cvr-gry(grey ","94012000","ONR","62.90","",""
"Accessories","Protection","Seat Covers","ACCS026","                         ","Fab st.cvr-Gry(blac ","94012000","ONR","62.90","",""
"Accessories","Protection","Seat Covers","ACCS027","                         ","Fab st.cvr-Grn(grey ","94012000","ONR","62.90","",""
"Accessories","Protection","Seat Covers","ACCS028","                         ","Fab st.cvr-Grn(blac ","94012000","ONR","62.90","",""
"Accessories","In Car Enter","New Tape and CD Players","ACCS030","                         ","IKON CD CHANGER-FMS ","85272100","ONR","6.12","",""
"Accessories","Protection","Mud Flaps","ACCS031","XS6JF16D588BA            ","REAR MUDFLAP        ","87081090","CUR","5.90","",""
"Brake and Exhaust","Other Brake Parts","Brake Actuators","B00STER","                         ","brake booster assy  ","87089900","ONR","85.96","",""
"Brake and Exhaust","Other Brake Parts","Caliper Repair Kit","CAL1P01","                         ","KIT CALIPERRH       ","87083000","ORB","52.91","",""
"Brake and Exhaust","Other Brake Parts","Caliper Repair Kit","CAL1P02","                         ","KIT CALIPERLH       ","87083000","ORB","52.91","",""
"Powertrain","Transmission ","Transmission Parts Other","CANN1ST","                         ","cannister assy      ","84219900","ONR","35.01","",""
"Growth Products","Consumables","Tools & Equipment","CGREASE","                         ","clare grease-0.5kg  ","34039900","ORB","71.21","",""
"Powertrain","Fuel System Parts","Other Fuel System Parts","C0RTUBE","                         ","corr tube 1.8-140mm ","85443000","ONR","0.68","",""
"Powertrain","Engines","Engine Parts Other","C0VER01","                         ","cover &gasket       ","40169390","ORB","62.30","",""
"Powertrain","Transmission ","Axle Shaft","DRSHAFT","XS613B436DA              ","drive shaft1.3      ","87085000","ONR","144.55","",""
"Powertrain","Engines","Service Engine assembly","ENGN1.8","                         ","dressed engine 1.8  ","87089900","ORB","3782.52","",""
"Collision","Trims","Other Body and Trim Parts","F0AMPAD","                         ","foam pad - rr lamp l","39269091","ONR","0.10","",""
"Collision","Body Parts","Door/Boot/Tailgate Parts","H1NGE01","H1NGE01                  ","hinge asy           ","87089900","ONR","6.54","",""
"Electricals and Air Conditioning","Electrical","Ignition Parts - Other","HW1RE01","                         ","grounding wire-singl","85444920","ONR","0.69","",""
"Electricals and Air Conditioning","Electrical","Ignition Parts - Other","HW1RE02","                         ","groundwire-bothhorns","85444920","ONR","0.92","",""
"Accessories","Other Accessories","Other Accessories","K1T0001","                         ","parts for bodyside s","87082900","ONR","74.04","",""
"Accessories","Styling","Spoilers","K1T0002","                         ","parts for rear spoil","87082900","ONR","86.86","",""
"Accessories","Styling","Alloy road wheel","K1T0003","                         ","KIT ALLOY WHEEL 13IN","87089900","ONR","261.95","",""
"Accessories","Protection","Mud Flaps","K1T0004","                         ","MUDFLAP KIT(FR+RR)  ","40169990","ONR","7.60","",""
"Accessories","Protection","Kit Body Side Molding","K1T0005","                         ","parts for b/s mouldi","87082900","ONR","7.62","",""
"Accessories","In Car Enter","Audio Mounting Parts","K1T0006","                         ","parts for Clxi radio","87089900","ONR","168.09","",""
"Accessories","Other Accessories","Other Accessories","K1T0007","                         ","parts for Clxi LH mi","87082900","ONR","24.32","",""
"Collision","Trims","Seat Belts","K1T0008","                         ","parts for Clxi Rrst ","87089900","ONR","89.42","",""
"Accessories","Other Accessories","Other Accessories","K1T0009","                         ","parts for Clxi P/win","87089900","ONR","319.29","",""
"Accessories","Other Accessories","Other Accessories","K1T0010","                         ","PRTS REMOTEBT CLXI  ","87089900","ONR","76.61","",""
"Collision","Lighting Parts","Other Lighting Parts","K1T0011","                         ","parts for foglamp   ","87089900","ONR","60.86","",""
"Collision","Trims","Body Seals","LWSTR1P","XS61F43720AE             ","LUGG- weatherstrip  ","40169330","ONR","10.13","",""
"Collision","Trims","Other Body and Trim Parts","NVHJACK","                         ","NVH JACKET          ","87089900","ORB","0.94","",""
"Brake and Exhaust","Other Brake Parts","Misc Brake Parts","PEDAB0X","                         ","pedal box           ","87083000","CUR","56.64","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0028","CF1322128                ","cart-lamp assy      ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0029","CF1252031                ","cart-mirrorassembly ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0030","CF2383820                ","cart-wheel assy     ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0031","CF2E12486                ","cart-wind screen gla","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0041","CF1131375                ","cart-shock absorber ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0042","CF2382038                ","cart- wheelassembly ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0043","CF1151558                ","cart-shockabsorber  ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0044","CF1250725                ","cart-disc frontwheel","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0045","CF1502320                ","cart- headlamp      ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0046","CF1520733                ","cart - window regu  ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packaging Materials","PKG0047","CF1550740                ","cart-regu window    ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packing Materials","PKG0048","CF1231023                ","cart-drum&drg cup   ","48192090","ONR","0.03","",""
"Miscellaneous","Miscellaneous","Packing Materials","PRBR005","PRBR005                  ","Ikon flyers         ","87089900","ONR","0.09","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA016","PRMA016                  ","Ikon bags           ","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMA017","PRMA017                  ","ikon Josh Mugs      ","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMS006","PRMS006                  ","sales prospect cards","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRPA013","PRPA013                  ","Insert IkonCards    ","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRPS011","PRPS011                  ","narain kartikeyan pr","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRPS012","PRPS012                  ","Danglers            ","87089900","ONR","0.09","",""
