"Part #","Description","USD EXW","",""
"04746TF0010","O/STAY SET L.T/GA","57.67","",""
"51220SDA305","JOINT COMP.. FR. LOWER BALL","63.18","",""
"16010TM2T71","SET. FUEL STRAINER","9.14","",""
"17719TG0T01","LOCK NUT.F/PUMP MODULE","5.62","",""
"934040602008","BOLT-WASHER.6X20","0.06","",""
"Y762BSELT1120","ACTUATOR GROUP L","5.98","",""
"79600T0NT52ZA","CONTL ASSY.AUTO A/C","494.53","",""
"06302PT3H00","UNIT ASSY. IGNITOR","143.92","",""
"22300R6V015","DISK COMP.. PRESSURE","134.74","",""
"51606S9AA22","DAMPER UNIT.L FR","162.52","",""
"76829S2KJ11","I JOINT WASHER","3.38","",""
"82220T0AA02","LOCK COMP R. RR SEAT","112.76","",""
"82620T0AA02","LOCK COMP L. RR SEAT","92.85","",""
"64300SNB327ZZ","PANEL SET.R RR INSID","379.31","",""
"77205SNDJ02ZA","VISOR ASS.METER LOW","37.11","",""
"77200SX8T00","INNER VISOR.METER","4.32","",""
"17046SMA000","SET FUEL LOCK NUT& P","22.45","",""
"35255S5AJ12","SW ASSY.LIGHTING","20.34","",""
"53416SWAA01","GUIDE COMP STRG RACK","13.67","",""
"22559RAYA01","PLATE.CLUTCH END 9","11.05","",""
"81247TG0T01ZA","COVER INN*NH167L*","0.86","",""
"90635SM4A01","CLIP.OIL HOSE","1.53","",""
"42700S84A31","WHEEL.DISK AL 15X","364.54","",""
"77240S0XA00ZA","PANEL ASS*NH167L*","11.26","",""
"91214RZA004","OIL SEAL 80X98X10","11.84","",""
"17371TG2T01","VALVE.TWO WAY","17.60","",""
"46340S84G00","PIPE D COMP.BRAKE","13.34","",""
"81506SNAA01ZE","FOOT COVER RR INN L.","1.20","",""
"90302SJK000","NUT.FLANGE.8MM","0.86","",""
"90431RJFT00","COTTER.42.2MM","1.81","",""
"44724SH0A01","WT.BALANCE (40G)","2.19","",""
"73400SDJD00","GLASS ASSY.R RR D","11.47","",""
"47560SWA003","WIRE B PARKING BRAKE","34.71","",""
"23943R0Z000","SHIM. 72MM M","5.93","",""
"90136SK7003","SCREW-WASH.3X20","0.17","",""
"24220PWL000","FORK COMP.1-2 SHI","51.85","",""
"54716SELT83","GARN.ESCN","21.71","",""
"60493TM0T00ZZ","BRKT L.COND MT","16.11","",""
"63915SDAA00ZZ","ADPT.FUEL CAP","14.68","",""
"90546RDK000","WASHER A.53MM","5.64","",""
"90172SL4003","SCREW WASH 5X12","0.92","",""
"38182TM8003","UPPER.COVER RELAY BLOCK(4P)","0.98","",""
"40100S9AE01","SHAFT ASSY.PROP","828.21","",""
"31200REAZ01","MOTOR ASSY.STARTE","90.23","",""
"01465SEMT00","SET FR BRAKE HOSE","10.69","",""
"81527SNBU51","PAD COMP L.FR BACK","73.11","",""
"63120TM0T00ZZ","STIFF COMP R.FR PLR","55.86","",""
"66118S5A300ZZ","STIFF. RR BPR FACE","1.63","",""
"94002120800S","NUT.HEX..12MM","0.39","",""
"72750SX8T01","REG ASSY L RR DR","215.21","",""
"77630TA0J02ZA","OUTLET AS*NH167L*","25.17","",""
"60614SX8T00ZZ","MEMBER R.FR W/H U","17.66","",""
"957010607507","BOLT.FLANGE.6X75","0.75","",""
"76251SX8T04","SET.HOUSING(L)","13.85","",""
"14761RE2E01","SPRING.IN VALVE","0.74","",""
"51403SNLT02","SEAT.L FR SPRING UPP","2.27","",""
"46600SWAT01","PEDAL ASSY BRAKE","100.76","",""
"74828SNA000","STOPPER R.TRUNK LID","1.35","",""
"72861TG2K00","SEAL.L RR DOOR HOLE","0.50","",""
"21215RPC000","HOLDER.IDLE SHAFT","20.16","",""
"39700SX8T01","CLOCK ASSY DIGITA","195.96","",""
"72180SEMK00ZA","HANDLE ASSY L.FR","5.98","",""
"31207RAAA01","CLUTCH.OVERRUNNIN","148.18","",""
"38231SNAA21","FUSE.MULTI BLOCK A(6","6.42","",""
"91006PGE008","PILOT BEARING","20.73","",""
"83503TM0T01ZB","LNG COMP.FR DOOR R*Y","94.08","",""
"14530P13000","COLLAR.AUTO ADJ.","14.10","",""
"53663S7A003","RING.BACK UP","7.09","",""
"81638TG1T01ZA","COVER. L. RECLINING OUTER*YR327L*","2.39","",""
"27471PP6000","VALVE.4TH EXT","6.92","",""
"18220S9A003","PIPE B.EXHAUST","387.81","",""
"81638SR3000ZP","COVER L R*NH264L*","3.93","",""
"08P34S84700X","BODY COVER","0.00","",""
"19222PO1003","O RING W/PUMP","0.00","",""
"46930SNAA41","SLAVE CYLINDER ASSY.","40.66","",""
"74308ST0003","BRKT.ROOF MLDG","0.60","",""
"76520S84A01","LINK ASSY A","4.13","",""
"28905RPS000","CAP.P/SENSOR","2.09","",""
"68500SDEZ20ZZ","LID COMP. TRUNK","190.72","",""
"90666SA7003YM","TRIM CLIP*NH167L*","1.31","",""
"45353SEMT01","DUST CAP-BLEED SCREW","0.15","",""
"74440SWA003","WTHSTP TAIL GATE","77.26","",""
"91302PNA003","O-RING.7.45X3.61","1.00","",""
"08P32S86700S11","L/S COV ST PL TRUFLE","0.00","",""
"80221SELT01","EXPANSION VALVE S","97.55","",""
"50945SDBA01","PIPE.ECM SOL","13.77","",""
"75670TA1J01","MLDG ASSY.L TRUNK GARN","53.83","",""
"84521TM0T00","LID COMP.SPARE TIRE","7.21","",""
"78159SNAA01","LENS COMP","20.17","",""
"76867SWA003","TUBE 80","0.71","",""
"29100PPSA00","SHAFT COMP.TRANSF","187.71","",""
"28250P6H024","LINEAR SOLENOID A","190.89","",""
"74895SWAA01ZC","GARN ASSY T/GATE LWR","243.00","",""
"72322SX8000","SEAL.FR DOOR MANU","1.10","",""
"53732S9A003","HOSE.P/S RETURN (","20.34","",""
"84281SX8T00ZB","TRIM OPEN *NH361L*","4.00","",""
"29000PPSA00","TRANSFER ASSY","661.47","",""
"43365SFEJ01","PIN.PARKING LEVER","1.55","",""
"83512S84A11ZA","PULL POCKET*NH1L*","6.88","",""
"83530TM0T01ZC","ARM CMP R FR DR LNGY","19.74","",""
"50850TG0T03","MTG RUB TRNS(AT)","64.06","",""
"39100SEMN32","TUNER ASSY 1 DIN","33.15","",""
"77460030200","ATTACHMENT.25 mm I.D","17.86","",""
"33555S9A003","REAR RR ASSY.L","6.79","",""
"75722SDAA00","EMBLEM.RR ACCORD","15.37","",""
"68565SELT101H1","PATCH TRUNK SKIN","0.53","",""
"53601TG2T01","SET.G/BOX COMP","442.12","",""
"83733SEMK00ZB","LINING CO*NH167L*","32.84","",""
"80315SWC013","HOSE COMP.DISCHAR","75.99","",""
"74104SELT10","SEAL PLATE R.FR BHD","2.05","",""
"23947R0Z000","SHIM. 72MM Q","5.41","",""
"36162RRAA01","VALVE ASSY PURGE C0N","61.81","",""
"36533RB0000","CLAMP.OXYGEN SENSOR","2.22","",""
"65660TC6T00ZZ","FRAME COMP L.REAR","511.45","",""
"45217SE0003","SEAL. PISTON","7.25","",""
"04674SNLT00ZZ","EXT SET.R FR WHOUSE","59.40","",""
"01466TG2T01","SET.RR BRAKE HOSE R","5.85","",""
"18181RCAA00","COVER.LWR","32.10","",""
"65140TG0T00ZZ","SILL COMP R.FR IN","87.22","",""
"54100TG0013","LEVER SUB ASSY.CH","40.25","",""
"23475RWE000","GEAR.T-4","50.29","",""
"73491SNA003","SEAL.L RR DOOR QT","8.19","",""
"60170S5A000ZZ","HINGE COMP L.HOOD","11.47","",""
"18305TA1J01","SLNCR COMP.EXH(L)","316.26","",""
"34155SDAP110M1","LAMP ASSY.L LID","59.93","",""
"32120TM0W32","WIRE HARN.L CABIN","99.71","",""
"33500SNB0031","R/C LAMP ASSY RH","122.03","",""
"07GADPG20100","PIN DRIVER5.0MM","13.81","",""
"83551TM0000ZC","CAP L.INSIDEFR HANDL","0.31","",""
"76200SX8T21ZL","MIR.ASSY..R*B66P*","71.01","",""
"90103S7S003","SCREW.FLAT 6X18.5","0.78","",""
"84101SWAJ02ZB","GARN. ASSY R FR PLR","34.86","",""
"76206SNBN11ZC","SET R.HOUSING S/T*B9","0.00","",""
"23975PPPJ00","SHIM.72 AS","4.07","",""
"75717SENH01ZB","STICKER RR IDSI","7.81","",""
"41384PPS000","SHIM.76MM.AB","4.17","",""
"51320SDAA05","LINK COMP..R.FR.S","46.45","",""
"91103RAS003","BRG NEEDLE 35X41X24","7.04","",""
"90414P6H010","WASHER.THRUST 41X","14.73","",""
"53434S84A01","CLIP.STRG TIE ROD","2.20","",""
"74883TG2K00ZA","KNOB ASSY.. FUEL OPENER*NH167L*","0.42","",""
"04655TG2K00ZZ","PANEL SET.RR FLR","192.04","",""
"17142RCAA00","RUBBER B.ENG COVE","1.52","",""
"90812SNA003","GROMMET.12","1.53","",""
"23938PL3A10","SHIM.65MM.H","4.28","",""
"46376TA5A00","PIPE W COMP.BRAKE","1.94","",""
"44726SH0A01","WT.BALANCE ( 5G)","1.30","",""
"41443RPC000","SHIM.90MM.C","4.32","",""
"90052PH7000","BOLT FLANGE 6X22","1.37","",""
"10002PPAQ04","ENG SUB-ASSY (BLO","2735.71","",""
"62100TG2K00ZZ","PANEL COMP.ROOF","154.62","",""
"46965TF0003","TANK ASSY.CLUTCH","11.93","",""
"35190TA0003","SW ASSY.R/C MIRRO","42.37","",""
"64730SDET01ZZ","WHEEL HOUSE COMP L.R","66.95","",""
"23515RPC030","GEAR.IDLE","97.65","",""
"22715PRP000","PIPE COMP B.FEED","3.72","",""
"14535RCAA00","PLATE.T/B STOPPER","4.46","",""
"08P32S8670C03","L/S COV CL PL GREEN","0.00","",""
"90118S0A000","BOLT.LWR-ARM FR (","3.25","",""
"34156SELT71","LAMP UNIT.L","37.15","",""
"32S51710","OWNER'S MANUAL","0.00","",""
"79725SDC000","HOSE.WATER OUTLET","3.98","",""
"83583SX8N40ZC","SET L FR DOOR LINING","113.47","",""
"08P33SX770C09","L/TRIM CL PL NEPTUNE","0.00","",""
"74175SMA000","CUSHION.HOOD","0.49","",""
"77104TM0000","FELT.INST","0.17","",""
"25214RAA003","HOSE 390MM.ATF","16.20","",""
"31513SX8T00","BOLT.BATT SET","1.88","",""
"31218RSHE01","YOKE COMP","67.85","",""
"34270SDAA11","LIGHT ASSY H/M STOP","189.01","",""
"83703TG2X11ZA","LNG COMP R.RR DOOR","34.02","",""
"11203RE2E01","O-RING.17.8X2.4","1.16","",""
"83504TC0T01ZB","ORNAMENT *YR392L*","59.90","",""
"14520P2A305","T/B TENS SET","45.35","",""
"44348SDAA00","RING.FR KNUCKLE","5.91","",""
"41357PC8000","WASH DIFF THRUST","2.40","",""
"63320SX8T00ZZ","EXTN COMP R.RR GT","15.12","",""
"90602PY3003","CLIP D25.TUBE","1.33","",""
"S42S24XJ4665P","TYRE SET XJ","0.00","",""
"81450TG2D12ZA","BELT ASSY OUT R.FR SEAT*YR240L*","18.82","",""
"08F20SDE700M","GOLD EMBLEM I-VTEC","6.96","",""
"72180TM0T21ZF","HANDLE ASSY.L FR DR OUT*T99*","9.37","",""
"45352SEMT01","BLEED SCREW","0.24","",""
"08R04SDE700X","DOOR VISOR","172.49","",""
"64520SWAA01ZZ","PLR COMP L.FR INN","127.95","",""
"28262PRP000","PACKING.LINEAR SO","3.28","",""
"17153RNAA00","TUBE.BRTHR","2.46","",""
"21812PGH010","PARKING.L SIDE CO","6.97","",""
