S. No.,Part No.,Description,USD Price,,,
1,0001107078BS1,Starter,192.44,,,
2,0001107540BS1,Starter,125.75,,,
3,0001109460BS1,Starter,245.23,,,
4,0001123012BS1,Starter,154.37,,,
5,0001125042BS1,Starter,227.47,,,
6,0001261028HHD,Starter,361.08,,,
7,0001263008BS1,Starter,364.01,,,
8,0001330050EVF,Starter,715.03,,,
9,0001417058000,Starter,539.18,,,
10,0120689543001,Alternator,523.78,,,
11,01241100074AV,Alternator,68.45,,,
12,01241100084AV,Alternator,63.92,,,
13,01241100094AV,Alternator,82.26,,,
14,01245252364AV,Alternator,216.51,,,
15,0124525525BGN,Alternator,212.56,,,
16,01245255544AV,Alternator,221.37,,,
17,0124555008850,Alternator,239.40,,,
18,0124555009BGN,Alternator,320.39,,,
19,01245550564AV,Alternator,171.86,,,
20,01245555584AV,Alternator,200.46,,,
21,01246550694AV,Alternator,181.63,,,
22,0125811109BGN,Alternator,349.02,,,
23,018999903MKM1,Battery Charger,35.00,,,
24,018999907MKM1,Battery Charger,73.70,,,
25,02048396707HH,MasterCylinder Assy,289.41,,,
26,02048456007HH,MasterCylinder Assy,182.95,,,
27,022150447077S,Ignition Coil,21.10,,,
28,0242140507000,Suppressed Spark Plug,4.65,,,
29,02422296567A0,Suppressed Spark Plug,1.91,,,
30,0242232505000,Suppressed Spark Plug,3.08,,,
31,02422328017BG,Spark-Plug Set,15.42,,,
32,0242236566000,Suppressed Spark Plug,8.82,,,
33,0242245568EHG,Suppressed Spark Plug,1.23,,,
34,0242255511879,Suppressed Spark Plug,25.80,,,
35,0250201022EAF,glow plug,11.29,,,
36,0250201035KM2,glow plug,10.51,,,
37,0250201039EAF,glow plug,5.32,,,
38,0250201054EAF,glow plug,24.74,,,
39,0250202022EAF,glow plug,6.28,,,
40,0250202130EAF,glow plug,9.78,,,
41,0250202136079,glow plug,10.09,,,
42,0250202142EAF,glow plug,23.06,,,
43,0250203012EAF,glow plug,28.32,,,
44,0250212002079,glow plug,12.34,,,
45,0250212003079,glow plug,4.93,,,
46,0250212005079,glow plug,5.87,,,
47,0250212011079,glow plug,6.19,,,
48,0250212014KM2,glow plug,6.61,,,
49,0250212019079,glow plug,9.24,,,
50,0250212904079,glow plug,7.44,,,
51,0250402005EAF,glow plug,8.19,,,
52,0250403005079,glow plug,112.63,,,
53,0250403009EAF,glow plug,7.94,,,
54,0250403014EAF,glow plug,6.30,,,
55,0250603004EAF,glow plug,20.19,,,
56,0250603006EAF,glow plug,19.86,,,
57,0258986507EMF,Oxygen Sensor,38.22,,,
58,0260120025001,Solenoid Valve,27.51,,,
59,02612101133BZ,Rot.-Speed Sensor,19.98,,,
60,02612101473BZ,Rot.-Speed Sensor,56.08,,,
61,02612101783BZ,Rot.-Speed Sensor,25.13,,,
62,02612304434AR,Pressure Sensor,62.37,,,
63,0265005146399,Acceleration Sensor,104.25,,,
64,02722207094AV,EL Field  Regulator,31.19,,,
65,02722207314AV,EL Field  Regulator,15.42,,,
66,02722207334AV,EL Field  Regulator,19.81,,,
67,02722207344AV,EL Field  Regulator,22.50,,,
