S. No.,Part No.,Description,USD Price,,
1,DCPR7E-N-10,Conventional ( Good),1.11,,
2,DCPR7EGP,Conventional ( Good),1.24,,
3,DCPR7EIX,G-Power (Better),2.52,,
4,BKR5E-11,Iridium IX (Best),7.31,,
5,BKR5EYA-11,Conventional ( Good),1.07,,
6,BKR5EGP,Conventional ( Good),1.07,,
7,BKR5E,G-Power (Better),2.52,,
8,BKR5EIX,Conventional ( Good),1.07,,
9,BKR5EIX-11,Iridium IX (Best),7.31,,
10,BPR5ES,Iridium IX (Best),7.31,,
11,BP5EY,Conventional ( Good),1.06,,
12,BPR5EY,Conventional ( Good),0.85,,
13,BPR5EGP,Conventional ( Good),1.10,,
14,BPR5ES-11,G-Power (Better),2.52,,
15,BPR5EIX-11,Conventional ( Good),1.10,,
16,BPR5EIX,Iridium IX (Best),7.31,,
17,BKR6E,Iridium IX (Best),7.31,,
18,BKR6EGP,Conventional ( Good),1.03,,
19,BKR6EIX,G-Power (Better),2.52,,
20,BKR6E-11,Iridium IX (Best),7.31,,
21,IZFR6K-13,Conventional ( Good),1.03,,
22,BKR6EIX-11,Iridium IX (Best),7.71,,
23,BPR6EY,Iridium IX (Best),7.31,,
24,BPR6ES-11,Conventional ( Good),1.10,,
25,BPR6ES,Conventional ( Good),1.10,,
26,BPR6EGP,Conventional ( Good),1.10,,
27,BPR6EIX,G-Power (Better),2.52,,
28,BPR6EIX-11,Iridium IX (Best),7.31,,
29,BKUR6ET-10,Iridium IX (Best),7.31,,
30,IZFR6H11,Conventional ( Good),3.70,,
31,ZFR5F-11,Iridium IX (Best),13.44,,
32,ZFR5FIX-11,Conventional ( Good),2.54,,
33,ZFR6K-11,Iridium IX (Best),7.31,,
34,IZFR6K-11,Conventional ( Good),2.54,,
35,IFR6T11,Iridium IX (Best),11.08,,
36,IZFR6K-11S,Iridium IX (Best),7.71,,
37,TR5B-13,Iridium IX (Best),11.08,,
38,LTR5GP,Conventional ( Good),1.32,,
39,LTR5IX-11,G-Power (Better),2.52,,
40,PFR6Q,Iridium IX (Best),7.31,,
41,LFR6C-11,Iridium IX (Best),7.71,,
42,LFR6AIX-11,Conventional ( Good),1.70,,
43,PTR6D-13G,Iridium IX (Best),7.31,,
44,TR6,Iridium IX (Best),7.31,,
45,TR6GP,Conventional ( Good),1.32,,
46,TR6IX,G-Power (Better),2.52,,
47,ZKR7A-10,Iridium IX (Best),7.31,,
48,LFR5C-11,Conventional ( Good),2.49,,
49,KR6A-10,Conventional ( Good),2.11,,
50,LKR6F10,Conventional ( Good),1.17,,
51,LKR6D-10E,Conventional ( Good),1.87,,
52,ZFR6T-11G,Conventional ( Good),1.13,,
53,LZKAR6C-11,Conventional ( Good),2.92,,
54,LZKR6B-10E,Conventional ( Good),1.46,,
55,DIFR6D-13,,1.44,,
56,LKR7BIX-P,,5.04,,
,,,5.04,,
