S. No.,Part No.,Description,USD Price,
1,FF0552200,Fuel Strainer (Old Model),1.76,
2,FF0547900,Fuel Strainer (Euro II - New Model),1.78,
3,101404700,Drain Valve for FS1299,2.75,
4,832100700,DRAIN VALVE FOR FS 1275,2.45,
5,AF2588400,Air Filter - Primary - Tata 697 Cmvr 2k - S Model - Tata 1613 SE,14.53,
6,AF2588500,Air Filter - Safety - Tata 697 Cmvr 2k - S Model - Tata 1613 SE,4.96,
7,809015800,O RING LUBE,0.52,
8,809015900,O RING FUEL,0.34,
9,103021400,VACCUME INDICATOR 25 Inch,2.94,
10,103021600,VACCUME INDICATOR 12 Inch,3.54,
11,103021900,VACCUME INDICATOR 20 Inch,3.51,
12,101070500,RUBBER - DUST CAP,2.11,
13,101204200,U SEAL FOR AIR HOUSING - 12 INCH,1.38,
14,101204400,U SEAL FOR AIR HOUSING - 11 INCH,1.13,
15,824030800,HUMP HOSE,10.31,
16,833906800,DISTANCE PIPE,1.27,
17,814020000,HOSE CLAMP T BOLT TYPE,0.97,
18,101201500,WING NUT,0.68,
19,101204500,WASHER,0.25,
20,101201300,WING NUT WITH STUD,1.20,
21,824031600,HOSE ELBOW,7.88,
22,814019600,HOSE CLAMP T BOLT TYPE,1.27,
23,106078200,RUBBER SLEEVE (THIN),1.18,
24,106078700,RUBBER SLEEVE (THICK),1.36,
25,101295200,TOP CAP - FOR 1014670,8.48,
26,101461500,TOP CAP - FOR 1014610,9.99,
27,101460000,Air Cleaner Assembly - TELCO 1615,44.47,
28,101462000,Air Cleaner Assembly - LPT 2576,65.55,
29,101464000,Air Cleaner Assembly - LPT 1921,77.23,
30,101467000,Air Cleaner Assembly - LPS 3515,62.00,
31,101468000,Air Cleaner Assembly - LPT 2516TC,58.22,
32,101470000,Air Cleaner Assembly - L&T / KOHLER,143.70,
33,101472000,Air Cleaner Assembly - HPL,93.12,
34,826008600,AIS for 2516 A/L,143.76,
35,105081000,Air Cleaner Assembly - Leyland Comet,32.93,
36,AH1938100,Air Cleaner Assembly-2516 A/L,120.65,
37,106080000,Air Cleaner Assembly - Tata 1210 Model,51.82,
38,AH1938500,Air Cleaner Assembly-3516 A/L,61.16,
39,826008400,AIS for 3516 A/L,154.25,
40,826008000,Air Intake Kit - Comet Housing with Rectangular Base,43.55,
41,826004000,Air Intake Kit - LPT 1612 Retrofitment,56.54,
42,826004100,Air Intake Kit - LPT 1612 Tipper Retrofitment,51.82,
43,826004400,Air Intake Kit for Ex60,69.31,
44,826004500,Air Intake Kit - 3516 TUSKER TURBO,59.45,
45,AH1938300,Air Cleaner Assembly-2214,53.55,
46,AH1938400,Air Cleaner Assembly-1616H,80.16,
47,AH1939900,Air Cleaner Assy-Hippo/Beaver,121.86,
48,825003300,Air Cleaner Assembly - SE-1615 TC Cowl,52.26,
49,833002000,Rain Hood - KTA50 GB,60.34,
50,840000900,Precleaner for Tata 4018,31.57,
51,AH1939400,Air Cleaner Assy-1613 SE CMVR2K,41.65,
52,AH1939500,Air Cleaner Assembly-LPT 2516 TC,67.08,
53,AH1939600,Air Cleaner Assembly-Eicher 6 Cylinder Engine,118.03,
54,AH1940400,Air Cleaner Assembly-FTI 18,600.53,
55,AH1939800,Air Cleaner Assy-Viking With hino euro II,65.67,
56,LF1605800,LUBE FILTER,1.09,
57,AH1940500,Air Cleaner Assembly-709 CARGO,64.76,
58,105016600,housing,1.55,
59,AH1941200,Air Cleaner Assembly-1613 TURBO AL,73.55,
60,LF1605600,Lube Filter - Spin On - Tata 207 DI / Tata 410 Turbo BS-III (4SP Engine),4.81,
61,LF1606000,Lube Filter - Spin On - Tata 697 Cmvr2k - BS-III,7.11,
