S. No.,Part No.,Description,USD Price,
1,06.01019-0220,HEX BOLT M10X95-17709 DIN 931,2.21,
2,06.02109-0047,SCREW M6X10-8.8 MAN183-B4 DIN 6912,0.40,
3,06.02109-0048,SCREW M6X12-8.8 MAN183-B4 DIN 6912,0.40,
4,06.02849-0024,SCREW M8X16-MK12-Z1-8.8 MAN183-B1 MAN222,0.31,
5,06.11240-0406,HEX. NUT BM10-8 MAN183-B1 M711260,0.22,
6,06.13189-0056,SLIP ON NUT M6,0.31,
7,06.33719-0101,NEEDLE BUSH 53X60X54,18.59,
8,06.36950-0309,BEARING BUSH GE25 UK M 755020,21.48,
9,06.36959-0033,BEARING BUSH 20 TYP 16-871,21.08,
10,06.54100-4470,CLUTCH HOSE 1-6-A-GG-4700 M 3268,61.56,
11,06.56289-0268,SHAFT SEAL,34.48,
12,06.56289-0371,SHAFT SEAL,28.27,
13,06.56631-0109,SEALING RING BS18.7X26.0-ST /FPM 1-80,0.65,
14,06.56631-0231,SEALING RING PCS-6.3 X11-ST,0.51,
15,06.56631-0235,"SEALING RING  PCS-14,3 X22 -ST/FKM1-80",0.47,
16,06.56631-0236,"SEALING RING  PCS-16,3 X24 -ST/FKM1-80",1.13,
17,06.56631-0237,"SEALING RING  PCS-18,3 X26 -ST/FKM1-80",1.11,
18,06.56631-0239,"SEALING RING  PCS-22,3 X30 -ST/FKM1-80",0.73,
19,06.56938-0522,O RING 10X3 FPM 1-80 MAN 356,0.31,
20,06.58073-1362,V BELT C-10 X 1375X2 MAN 316,12.65,
21,06.58073-2331,"BELT C-13X1290,MAN 316",12.85,
22,06.67124-1024,HOSE CLAMP TL66-79 M3292,13.82,
23,07.93810-0003,FUSE 10A,0.11,
24,07.93810-0004,FUSE 15A,0.11,
25,07.93810-0005,FUSE 20A,0.11,
26,07.93810-0006,FUSE 25A,0.11,
27,36.43603-0008,AIR SPRING BASE,95.15,
28,51.01305-5154,TIMING COVER,213.78,
29,51.01601-5065,PISTON COOLING NOZZLE ASSY,4.50,
30,51.01802-0335,OIL SEPARATOR DRAIN PIPE,10.18,
31,51.01802-5470,BREATHER PIPE,14.54,
32,51.01903-0322,GASKET FOR TIMING COVER,11.07,
33,51.02410-0645,CONNECTING ROD BEARING LOWER,6.94,
34,51.02410-0646,CONNECTING ROD BEARING - UPPER,16.88,
35,51.03100-6273,CYLINDER HEAD ASSY,1959.94,
36,51.03203-0219,VALVE SEAT RING EXHAUST EURO-III,5.50,
37,51.03203-0347,VALVE SEAT RING INLET EURO-III,4.28,
38,51.03901-0378,CYLINDER HEAD GASKET,29.81,
39,51.03905-0155,GASKET - CYLINDER HEAD COVER,4.72,
40,51.03905-0167,CYLINDER HEAD COVER GASKET,74.35,
41,51.04205-0042,ADJUSTING SCREW,7.21,
42,51.04250-0004,PISTON,6.08,
43,51.04301-0131,VALVE TAPPET,24.67,
44,51.04902-0042,VALVE STEM SEAL,0.69,
