S. No.,Part No.,Description,USD Price,
1,160700,PulleyFord Figo Classic Diesel ,17.04,
2,160701,Stator AssyMaruti Alto Stator Assy ,29.31,
3,160800,Armature Assy Fiat Linea / Punto ,47.98,
4,160801,"Armature Assy Ford Figo,Fiesta,New ",17.59,
5,406501,Starter Fiat Linea/Punto Fire ,61.55,
6,406504,Starter Maruti Swift/Dzire/SX4 1.3L ,58.62,
7,406508,Starter Tata Vista / Manza1.3L SDE ,61.39,
8,406513,Starter Chevrolet Enjoy ,66.54,
9,406514,Starter Piaggio Porter 1000 ,79.14,
10,406516,Starter PV Tata Ace ,52.00,
11,406517,Starter Tata Indica/Indigo ,59.29,
12,406518,STARTER MAHINDRA BOLERO ,82.37,
13,406519,Starter Renault Kwid ,52.13,
14,406520,Starter mahindra Xylo ,85.38,
15,406521,Starter TATA Indica (bulk) ,509.96,
16,406522,Starter Toyota Etios Diesel ,58.50,
17,406550,Front Bracket AssyHyundai i10/i20 K ,5.77,
18,406551,Armature Assy Hyundai i10 / i20 Kap ,26.77,
19,406552,ORC AssyHyundai i10 / i20 Kappa ,8.60,
20,406553,Yoke AssyHyundai i10 / i20 Kappa ,9.85,
21,406554,Solenoid Switch Hyundai i10 / i20 K ,14.54,
22,406555,Rear Bracket Assy Hyundai i10/i20 K ,2.17,
23,406556,Front Bracket AssyFiat Linea/Punto ,5.35,
24,406558,"Orc AssyFiat Linea/Punto,Nissan Mic ",7.19,
25,406559,Yoke AssyFiat Linea Fire ,8.65,
26,406560,Solenoid Switch Fiat Linea / Punto ,15.74,
27,406561,Rear Bracket Assy Fiat Linea / Punt ,5.75,
28,406562,Yoke AssyFiat Punto Fire ,13.55,
29,406563,"Front Bracket M/C Ford Figo,Fiesta, ",7.01,
30,406565,"ORC AssyFord Figo Diesel/Petrol,Fie ",7.13,
31,406566,"Yoke AssyFord Figo Petrol,Fiesta Cl ",6.06,
32,406567,Solenoid Switch Ford Figo Petrol/Di ,16.28,
33,406568,Rear Bracket Assy Ford Figo Petrol/ ,5.75,
34,406569,"Front Bracket AssyFord Figo,Fiesta ",7.72,
35,406570,"Armature Assy Ford Figo,Fiesta Die ",20.21,
36,406571,"Yoke AssyFord Figo,Fiesta Diesel Si ",6.27,
37,406573,"Front Bracket AssyMaruti Swift ,Dzi ",5.82,
38,406575,"ORC Assy Maruti Swift ,Dzire,S ",6.82,
39,406576,"Yoke AssyMaruti Swift ,Dzire,Sx4,Ta ",5.53,
40,406577,"Solenoid Switch Maruti Swift,Dzire, ",16.01,
41,406578,"Rear Bracket Assy Maruti Swift ,Dzi ",5.90,
42,406579,Front Bracket M/CMaruti Sx4 PETROL ,8.45,
43,406580,Armature Assy Maruti SX4 Petrol /E ,27.95,
44,406581,Orc AssyMaruti SX4 Petrol/Ertiga ,19.81,
45,406582,Yoke AssyMaruti SX4 PETROL YY4MC ,8.04,
46,406584,Rear Bracket Assy Maruti SX4 Petro ,6.47,
47,406585,Front bracket machined Nissan Micra ,6.73,
48,406586,Armature AssyNissan Micra X02A XH2 ,31.82,
49,406587,Yoke AssyNissan Micra X02A XH2 ,8.55,
50,406588,Solenoid Switch Nissan Micra X02A ,13.63,
51,406589,Rear Bracket Assy Nissan Micra X02 ,5.56,
52,406590,Front Bracket M/CNissan Micra Nissa ,6.45,
53,406591,Front Bracket AssyTata Vista / Manz ,6.53,
54,406592,Armature Assy Tata Vista/Manza 1. ,20.78,
55,406593,Solenoid Switch Tata Vista/Manza 1. ,16.08,
