S. No.,Part No.,Description,USD Price,
1,100100701,Sc230 Single Cylinder Compr.,142.23,
2,100100750,Sc 160 Single Cylinder Compr.,120.72,
3,100100840,Sc 160 Water Cooled Compressor,148.31,
4,100100871,Hswc Sc Compressor Sc 160,204.34,
5,100100872,Hswc Sc Compressor,204.34,
6,100100873,H.S.W.C.Compressor Sc 160,204.34,
7,100100891,Hswc Sc Compressor Sc 160,197.95,
8,100100893,Hswc Sc Compressor Sc 160,179.97,
9,100100960,Compressor Sc 160,97.59,
10,100100961,H.S.Single Cylinder Compressor,97.59,
11,100100962,Compressor Sc 160,107.18,
12,100100963,Compressor Sc 160,108.05,
13,100100970,S C Compressor Sc 230,168.38,
14,100101020,COMPRESSOR (SIDE MOUNTED),179.14,
15,100101030,N.L.C. Compressor -160 cc,171.12,
16,100101080,COMPRESSOR (230cc water cooled PR),176.50,
17,100101170,230cm3 COMPRESSOR,191.81,
18,100101200,230cc Compressor,136.27,
19,100101210,Compressor - SC 160 - Water cooled,152.29,
20,100101220,TCL compressor 160 cc,105.95,
21,100101221,TCL compressor 160 cc,105.95,
22,100101230,160 cc  Air Cooled Compressor,179.09,
23,100101240,160 cc PR Air Cooled,103.80,
24,100101270,COMPRESSOR (SIDE MOUNTED),158.45,
25,100101340,Sc Compressor,134.03,
26,100101360,160 cc Gear Driven Compressor,92.41,
27,100101480,160cc air cooled compressor,135.90,
28,100101590,COMPRESSOR (230cc water cooled PR),140.78,
29,100101600,MNAL compressor - 230 CC,173.53,
30,100101610,230cc Compressor,163.53,
31,100101670,160 cc Compressor,125.98,
32,100110960,Reed Valve Assembly,24.99,
33,100110980,End Cover Assembly-Sc230,13.56,
34,100110990,Connecting Rod Assy-230&160 Sc,12.18,
35,100111160,Valve Plate Assy,29.55,
36,100111180,Cylinder Head Assy For 94 Dia,51.48,
37,100111210,Cylinder Head Assy For 94 Dia,50.40,
38,100111220,Reed Valve Assy-M111180-Tata,28.94,
39,100111230,Reed Valve Assy-Compressor,28.09,
40,100111310,Cyl. Head Assly For 77Dia Comp,23.35,
41,100111320,Reed Valve Assembly,35.50,
42,100111360,Conn. Rod Sub Assy/Hs Sc160,15.17,
43,100111390,Piston Assembly,18.16,
44,100111400,Connecting Rod Assembly,14.47,
45,100111410,Valve Plate Assembly,23.53,
46,100111430,Connecting Rod Assembly,12.03,
47,100111500, Air Cooled 94 dia Cyl Head Assy,47.59,
48,100111520,Reed valve Assy,26.66,
49,100111530,Cylinde head Assy,38.29,
50,100111570,Cylinder Head Assy,68.22,
51,100111600,Valve Plate Assy,29.17,
52,100111720,Cylinder Head of M101220,50.59,
53,100111721,Cylinder head Assembly,50.59,
54,100111790,NLC REED VALVE PLATE ASSY,36.08,
55,100111800,NLC CYL HEAD ASSY,67.09,
56,100111840,Piston Assy,18.84,
57,100112000,Cylinder Head Sub Assy,71.32,
58,100130250,Ball Bearing-Compressor,15.89,
59,100130951,Crankshaft (Machining),140.40,
60,100131391,Cylinder Head (Machining),33.66,
61,100133541,Connecting Rod(M/C)Sc 230/160,8.10,
62,100133551,Crankshaft(Machining)Sc230,46.14,
63,100133560,Base Cover,1.06,
64,100133651,Cylinder Block (Machining)160C,71.53,
65,100133652,Cylinder Block (Machining)160C,49.04,
66,100133653,Cylinder Block (Machining)230CC,60.06,
67,100133661,Crankshaft (Machining)160Cc,37.17,
68,100133681,Cylinder Block(Compressor),62.27,
69,100133691,Cylinder Head(M/C)Sc 230,19.62,
70,100134261,Cylinder Head (Machining),19.63,
71,100134282,Cyl.Head Cover(M/C)Hs Wc160,15.06,
72,100134350,Oil Seal,0.90,
73,100134432,Crankshaft (Machining),73.83,
74,100134441,End Cover (Machining)Hswcsc160,9.31,
75,100134562,Cylinder Block (M/C)Hs Sc160,24.54,
76,100134581,Connecting Rod (M/C)Hs Sc 160,8.08,
77,100134602,Cylinder Head (M/C) Hs Sc 160,23.61,
78,100134603,Cylinder Head (M/C)-Hs Sc 160,23.61,
79,100134740,Wrapped Bush,1.81,
80,100134771,Cylinder Block (Machining),98.14,
81,100134781,Cylinder Block (Machining),53.94,
82,100135370,Joint,0.53,
83,100135541,Cylinder Block,54.31,
84,100135542,Cylinder Blockmachined,36.58,
85,100135561,Crankshaft,68.43,
86,100135571,End Cover - Machining,17.77,
87,100135572,End Cover - Machining,15.43,
88,100135581,Connecting Rod - Machining,13.13,
89,100135670,Sump Cover,1.98,
90,100135711,Crank Shaft - Machined,54.17,
91,100135721,Connecting Rod - Machining,0.80,
92,100135831,CYLINDER BLOCK-MACHINING,130.03,
93,100135841,CRANKSHAFT MACHINING,70.98,
94,100135845,CRANKSHAFT MACHINING,15.68,
95,100135851,END COVER-SIDE MOUNTING MACHINING,9.76,
96,100135871,End Cover Machining,14.79,
97,100135881,CONNECTING ROD-MACHINING,14.64,
98,100135891,SIDE MOUNTING FLANGE-MACHINING,23.30,
99,100135920,END COVER GASKET,0.31,
100,100135941,CYLINDER HEAD -MACHINING,21.60,
101,100135961,CI-VALVE PLATE MACHINING,6.02,
102,100135962,VALVE PLATE MACHINING,9.48,
103,100135970,VALVE PLATE COVER,3.66,
104,100136000,GOVERNOR PLATE,0.37,
105,100136010,BAFFLE,0.42,
106,100136020,UNLODER PLUNGER,3.91,
107,100136030,PLUNGER STOPPER,1.81,
108,100136040,SPRING,0.61,
109,100136050,CYL HEAD COVER GASKET,0.78,
110,100136372,Cylinder head cover machining,13.04,
111,100136611,Cylinder Head - Machining,22.32,
112,100136612,Cylinder Head - Machining,20.14,
113,100136641,Front end cover - Machining,8.72,
114,100136751,Cylinder Head(Compressor),20.08,
115,100136762,Cylinder Block (Machining),60.06,
116,100136770,CRANK SHAFT FORGING,17.97,
117,100136772,Crankshaft (Machining),25.71,
118,100136773,CRANK SHAFT Machining,25.36,
119,100136776,Crank Shaft Machining,21.60,
120,100136781,CONNECTING ROD-MACHINING,8.10,
121,100136791,Front End cover,21.06,
122,100136801,Rear End cover,9.61,
123,100136821,Rear End Cover - Machining,6.92,
124,100136831,End Cover (Machined),5.75,
125,100136871,End Cover (Compressor),14.19,
126,100136872,End Cover (Compressor),12.03,
127,100136951,CYLINDER HEAD -MACHINING,21.16,
128,100136953,CYLINDER HEAD -MACHINING,16.82,
129,100136970,Cylinder Head  Cover (PDC),8.23,
130,100136971,Cylinder head Cover -PDC (Machining),9.58,
131,100136972,Cylinder head Cover -PDC (Machining),10.55,
132,100137100,Cyl Head Cover,0.33,
133,100137191,Cylinder Block Machining,21.56,
134,100138381,End Cover (Machining),9.37,
135,100139191,Cylinder Head - Machining,19.01,
136,100139581,Cylinder Head Machining,22.49,
137,100200551,Servo Brake Valve,64.43,
138,100200740,Clutch servo,46.32,
139,100200750,Clutch Servo,47.55,
140,100200770,Clutch Servo,46.32,
141,100200810,3 inch Clutch Servo,56.28,
142,100200850, 4 inch Clutch Servo,47.55,
143,100200860,4  inch clutch servo,47.55,
144,100200940,Clutch Servo,47.55,
145,100200950,Servo Brake Valve,52.42,
146,100200980,Clutch Servo,57.79,
147,100201010,Clutch servo,57.79,
148,100201020,3 inch Clutch Servo,46.32,
149,100210620,Fork Assy,2.49,
150,100232380,PIN,0.27,
151,100232410,Catridge Cylindrical,2.79,
152,100232630,Bleeder Screw,0.43,
153,100232750,Push Rod,1.90,
154,100232830,Pneumatic Body,20.39,
155,100232870,Pneumatic Body,20.50,
156,100232881,Hydraulic body (Machining),16.66,
157,100232971,Hydraulic body (Machining),26.89,
158,100233630,Push Rod,2.14,
159,100250000,Stop Light Switch -(M10) Assy,3.16,
160,100250040,Low Pressure Indicator Switch,4.32,
161,100250050,Air Cylinder,11.13,
162,100250051,Air Cylinder With Magnet.Valve,34.29,
163,100250052,Air Cylinder With Magnet Valve,33.60,
164,100250053,Air Cylinder With Magnetic Val,34.94,
165,100250054,Air Cylinder With Magnetic Val,33.60,
166,100250150,Stop Light Switch Assy,2.60,
167,100250151,Stop Light Switch,2.08,
168,100250230,L.P.Indicator Switch Assy,3.95,
169,100250280,L.P.I Switch Assembly,3.54,
170,100250450,Stop Light Switch Assembly,2.81,
171,100250460,Air Cylinder-Assy,16.07,
172,100250520,L.P.I Switch (6.6 Bar),3.99,
173,100250550,Ex. Stroke Warning Switch,4.18,
174,100250560,Lpi Switch Sin.Terminal,3.54,
175,100250561,Lpi Switch With Boot,4.28,
176,100250640,Exhaust Brake Assy,65.51,
177,100250641,Air Exhaust Brake Assy,57.29,
178,100250650,Air Cylinder(Exhaust Brake),22.99,
179,100250670,Spring Brake Actuator(12/16),113.01,
180,100250681,Exhaust Brake,60.66,
181,100250810,Air Filter Valve,6.29,
182,100250831,Spring Brake Actuator Ty 12/12,76.97,
183,100250832, Spring Brake Actuator TY 12/12,77.60,
184,100250940,Spring Brake Actuator Ty 12/12,78.43,
185,100250950, Spring Brake Actuator Ty 12/12,78.43,
186,100250980,Spring Brake Actuator Ty 24/24,74.38,
187,100250990,Spring Brake Actuator Ty24-24,110.03,
188,100251260,Spring Brake Actr (Ty 10.5/12),87.30,
189,100251340,Spring Brake Actuator(24/75),94.43,
190,100251390,Wedge Brake Actuator,19.37,
191,100251560,Spring Brake Actuator (16/24) voss,81.89,
192,100251580,Spring Brake Act Ty 24/75 (VOSS),96.68,
193,100251590,Spring Brake Actuator (Ty 9/9) Voss,58.41,
194,100251600,Spr. Brake Actuator (Ty 12/12) Voss,76.84,
195,100251610,Spring Brake Actuator,78.93,
196,100251800,Spring Brake Actuator(24/75),105.88,
197,100251810,Spring Brake Actuator(24/75),105.88,
198,100251820,Spring Brake Actuator(24/75),105.88,
199,100251830,Spring Brake Actuator(24/75),105.88,
200,100251840,Spring Brake Actuator (Ty 16/24),79.61,
201,100251850,Spring Brake Actuator (16/24),79.61,
202,100251990,Spring Brake Actuator (Type16/24),81.33,
203,100252000,Spring Brake Actuator (Type16/,80.96,
204,100252080,Spring Brake Actuator(20/75),104.26,
205,100252090,Spring Brake Actuator(20/75),108.43,
206,100252100,Spring Brake Actuator(24/75),108.43,
207,100252110, Spring Brake Actuator(24/75),108.43,
208,100252150,Air Cylinder With Magnetic Valve,34.68,
209,100252151,Air Cylinder With Magnetic Val,34.68,
210,100252190,Spring Brake Actuator (16/24),85.64,
211,100252270,Spring Brake Actuator (16/24),87.15,
212,100252660,Upgraded Type24/24 SBA,77.57,
213,100252670,Upgraded Type24/24 SBA,77.57,
214,100252680,Spring Brake Actuator(24/75),79.96,
215,100252690,Spring Brake Actuator,69.82,
216,100252730,Spring Brake Act,66.77,
217,100252840,Spring Brake Actuator Ty 24/24,173.32,
218,100252850,Spring Brake Actuator(24/75),90.79,
219,100252860,Spring Brake Actuator(24/75),90.79,
220,100252880,Low Pressure Indicator Switch,3.82,
221,100252890,Spring Brake Actuator(24/75),90.79,
222,100252900,Spring Brake Actuator(24/75),85.65,
223,100252910,Stop Light Switch,2.38,
224,100253090,WT SBA,134.88,
225,100260050,Ball &Socket Assy-Air Cylinder,0.86,
226,100260560,Ram Assembly,18.13,
227,100260570,Cylinder Assembly,15.28,
228,100260630,Non Pressure Plate Assy,9.13,
229,100260640,Ram Assy,17.51,
230,100260652,Cylinder Asssembly,17.18,
231,100260670,Non Pressure Plate Assy,10.47,
232,100260710,Cylinder Assy,16.22,
233,100260712,cylinder Assy (Powder coated),13.23,
234,100260720,Ram Assembly,19.44,
235,100261210,PUSH ROD ASSY,4.80,
236,100261211,Push Rod Assy,4.31,
237,100261220,NON PRESSURE PLATE,10.68,
238,100261250,Windoff Rod Assy,3.08,
239,100261270,FORK  ASSEMBLY,1.88,
240,100261280,Cylinder Assembly,16.22,
241,100261290,RAM ASSY,11.78,
242,100261300,Non - Pressure plate assembly,11.51,
243,100261301,Non - Pressure plate assembly,7.23,
244,100261540,NON PRE. PLATE ASSY.,11.53,
245,100261610,RAM ASSY,18.27,
246,100261910,Ram Assy,11.28,
247,100271300,Diaphragm-Safety Brake Actuator,11.09,
248,100271761,Cylinder( Machined)-Iveco Sba,50.92,
249,100273020,Windoff Rod,3.35,
250,100273070,Spring,0.31,
251,100273371,Flange (Machining) Sba-(24/24),19.82,
252,100273410,Wind Off Rod,3.88,
253,100273411,Wind Off Rod,1.90,
254,100273420,Slotted Nut,0.61,
255,100273430,Stem Plug Ty 24 (780),1.78,
256,100273480,Heavy Coil Spring,19.44,
257,100273550,Heavy Coil Spring,15.06,
258,100273581,Flange (Machining),15.71,
259,100273660,Elbow,0.23,
260,100273680,Stem Plug,1.16,
261,100274140,Spring,1.69,
262,100274300,Flange (Machining),18.88,
263,100275020,Seal,0.68,
264,100275030,Dust Seal,0.39,
265,100275060,Clamp Ring,3.08,
266,100275063,Clamp Ring,2.00,
267,100275140,Stem plug,1.56,
268,100275370,Flange (casting),11.23,
269,100275371,Flange (Machined),21.56,
270,100275380,Flange (Casting),11.23,
271,100275381,Flange (Machined),21.56,
272,100275420,SPRING,13.47,
273,100275561,FLANGE (ANODISING),22.18,
274,100275562,FLANGE (ANODISING),22.18,
275,100279631,Flange (Machined),8.17,
276,100300630,Limiting&Quick Release Valve,34.45,
277,100300840,Inversion Valve,35.26,
278,100300970,Foot Control Valve,15.37,
279,100301910,Unloader Valve With Ti,15.07,
280,100301920,Unloader Valve With Ti,15.51,
281,100301930,Combined Unlo.Valve&Tyre Infla,14.01,
282,100301940,Unloader Valve With Tyre Infla,15.51,
283,100301950,Combined Unloader Val&Ti Assy,15.51,
284,100301970,Combined Unloader Val&Ti Assy,14.62,
285,100301980,Combined Unloader Val&Ti Assy,14.62,
286,100302060,Non Return Valve,5.04,
287,100302270,Combined Unloader Val&Ti Assy,26.65,
288,100302280,Double Check Valve,11.03,
289,100302300,Combinedunloader Val&Ti Assy,14.22,
