"Part #","Description","Effective From","Multiplication Factor(Part)","USD PRICE","",""
"44500","OIL FLTR STP WR","4/1/2015 5:30","1","40.84","",""
"47600","EXTRACTOR-BALL","1/31/2015 5:30","1","78.77","",""
"55401","MS. 554-01","1/31/2015 5:30","1","38.17","",""
"55407","COOLINGCR TSTR","1/31/2015 5:30","1","230.38","",""
"57422","TOOL","8/4/2016 5:30","1","508.17","",""
"58200","FLYWHEEL LOCKER","1/31/2015 5:30","1","10.74","",""
"58201","FLYWHEEL LOCKER","1/31/2015 5:30","1","15.01","",""
"60401","TOOL-HUB LCK","9/29/2015 5:30","1","31.50","",""
"79901","IMMOBILIZER PIN","12/10/2015 5:30","1","36.21","",""
"83605","GAUGEKIT-OIL PR","5/4/2016 5:30","1","520.04","",""
"100001","Tool","1/31/2015 5:30","1","123.69","",""
"101800","moteur 8mm","1/31/2015 5:30","1","21.07","",""
"105004","TOOL-UNV DR SFT","1/31/2015 5:30","1","288.60","",""
"112901","TOOL-CRNK SEAL","4/1/2015 5:30","1","95.38","",""
"116800","PILER-CLIP TYPE","4/1/2015 5:30","1","46.59","",""
"117000","Tool","1/31/2015 5:30","1","79.42","",""
"117500","Tool","1/31/2015 5:30","1","16.60","",""
"119901","CUTTER-EXH PIPE","1/31/2015 5:30","1","104.65","",""
"120201","PILER-HOSE CLP","4/1/2015 5:30","1","40.88","",""
"120202","PILER-HOSE CLP","4/1/2015 5:30","1","40.41","",""
"125700","CLAMP-ROOM FUS","1/31/2015 5:30","1","3.72","",""
"126500","PLIERS FOR DISC","3/6/2015 5:30","1","16.38","",""
"126501","PLIERS FOR DISC","3/6/2015 5:30","1","18.91","",""
"128700","SRS Destroyer","1/31/2015 5:30","1","378.41","",""
"128701","Destr toolcable","1/31/2015 5:30","1","40.04","",""
"128702","SRS Adapter Kit","1/31/2015 5:30","1","36.43","",""
"131101","TOOL","8/4/2016 5:30","1","652.35","",""
"131108","UNION-FUEL PR","1/31/2015 5:30","1","3.63","",""
"131900","TOOL MOT131900R","9/19/2018 5:30","1","419.91","",""
"132900","Filter remover","1/31/2015 5:30","1","29.11","",""
"133000","OIL FILTER REMO","9/29/2015 5:30","1","26.33","",""
"133500","PILER-VLV SEAL","8/5/2016 5:30","1","20.23","",""
"136800","Roller bolt","1/31/2015 5:30","1","31.31","",""
"137900","TOOL MOT 1379","8/4/2016 5:30","1","62.12","",""
"138200","PLUG WRENCH","4/1/2015 5:30","1","584.99","",""
"138201","Plug Spanner","1/31/2015 5:30","1","26.08","",""
"139000","SPRT-ENG GR BOX","5/4/2016 5:30","1","582.16","",""
"139700","UNIV SPANNER.","4/1/2015 5:30","1","71.75","",""
"142001","SCR JACK TOOL","1/31/2015 5:30","1","280.37","",""
"143000","TIMING PINS","4/1/2015 5:30","1","28.87","",""
"143100","flywheel locker","1/31/2015 5:30","1","32.62","",""
"145300","SPRT-ENG ANC","1/31/2015 5:30","1","442.07","",""
"145301","NUT-ADDNL HNDL","4/1/2015 5:30","1","22.41","",""
"148900","TDC Locater","1/22/2019 5:30","1","11.11","",""
"149001","PULLEY LOCK,ADJ","4/1/2015 5:30","1","28.46","",""
"149200","TOOL FOR FITTIN","6/2/2015 5:30","1","75.96","",""
"149301","TOOL","8/4/2016 5:30","1","15.82","",""
"149302","CENTERING TOOL","6/2/2015 5:30","1","21.16","",""
"149400","TOOL","8/4/2016 5:30","1","56.81","",""
"149501","22M SCKT 02 SEN","4/1/2015 5:30","1","34.79","",""
"149600","CAM TIMING TOOL","4/1/2015 5:30","1","63.55","",""
"150400","TOOL","9/22/2015 5:30","1","126.89","",""
"151100","TOOL-STEM VLV","8/5/2016 5:30","1","56.49","",""
"152100","PLIER CLIP","4/1/2015 5:30","1","29.29","",""
"152500","gearextractor","4/1/2015 5:30","1","72.07","",""
"152502","ADAPTER CLAWS","1/31/2015 5:30","1","35.96","",""
"153300","TOOL 1533","1/22/2019 5:30","1","55.07","",""
"155400","BVI 1554","1/31/2015 5:30","1","104.75","",""
"157800","TOOL","8/5/2016 5:30","1","111.37","",""
"157900","EXTRACTOR-LIP","1/22/2019 5:30","1","444.29","",""
"158500","TOOL-PTFE SEAL","1/31/2015 5:30","1","78.82","",""
"158600","TOOL-PTFE SEAL","1/31/2015 5:30","1","38.85","",""
"159200","TOOL","1/31/2015 5:30","1","60.50","",""
"159300","BATTERY TESTER","4/1/2015 5:30","1","1761.84","",""
"160100","BVI 1601","1/31/2015 5:30","1","45.75","",""
"160400","CLUTCH COMPRESS","4/1/2015 5:30","1","69.77","",""
"160600","pulley sup tool","1/31/2015 5:30","1","44.42","",""
"163200","TOOL-PTFE SEAL","1/31/2015 5:30","1","40.62","",""
"163800","BLT TENSION GAU","4/1/2015 5:30","1","19.66","",""
"165400","Filter remover","1/31/2015 5:30","1","51.59","",""
"165800","TOOL HDG","8/4/2016 5:30","1","8.19","",""
"166600","Instl -oil seal","1/31/2015 5:30","1","67.68","",""
"167200","engine support","4/1/2015 5:30","1","240.75","",""
"167700","immobilizer","4/1/2015 5:30","1","12.45","",""
"168900","DIFF OUTLT SEAL","1/22/2019 5:30","1","52.37","",""
"1216401","TOOL BVI 2201","8/4/2016 5:30","1","30.90","",""
"3834280","SEAL-OIL,DIFF","1/31/2015 5:30","1","16.41","",""
"92310810","PIN-SNAP","1/31/2015 5:30","1","0.69","",""
"009231081A","PIN-SNAP.","1/31/2015 5:30","1","0.69","",""
"93311200","PLUG","10/3/2015 5:30","1","0.69","",""
"93311290","PLUG-WRENCH","10/3/2015 5:30","1","0.69","",""
"93311890","PLUG-WRENCH","10/3/2015 5:30","1","0.69","",""
"009331221A","PLUG WELCH","1/22/2019 5:30","1","1.04","",""
"93313090","PLUG-WRENCH","10/3/2015 5:30","1","0.69","",""
"00DY165001","DISTRBUTN BOWDN","1/22/2019 5:30","1","2.80","",""
"00FZ307001","FOOT FLAP.","1/22/2019 5:30","1","5.72","",""
"00FZ308001","RH HOUSING.","1/22/2019 5:30","1","22.90","",""
"0111100Q0H","BOLT.","10/3/2015 5:30","1","1.67","",""
"112100743","BOLT","10/3/2015 5:30","1","0.91","",""
"112100772","BOLT-HEX HD W/W","10/3/2015 5:30","1","0.99","",""
"0112100Q1D","BOLT","10/3/2015 5:30","1","2.21","",""
"0112100Q1J","BOLT","10/3/2015 5:30","1","2.53","",""
"112103691","BOLT","10/3/2015 5:30","1","0.69","",""
"112103701","BOLT-HEX HD,W/W","5/8/2018 5:30","1","1.95","",""
"112106091","BOLT-HEX HD,W/W","10/3/2015 5:30","1","1.12","",""
"112107161","BOLT-HEX FLANGE","10/3/2015 5:30","1","1.12","",""
"112107261","SCR-HEX HD,PP W","10/3/2015 5:30","1","0.91","",""
"01121N0031","BOLT","10/3/2015 5:30","1","1.12","",""
"01121N6021","BOLT-HEX,W/CON","10/3/2015 5:30","1","1.63","",""
"01121N6031","BOLT.","1/31/2015 5:30","1","1.63","",""
"01121N6041","BOLT-HEX,W/CON","1/31/2015 5:30","1","2.42","",""
"01121N6071","BOLT-HEX,W/CON","1/31/2015 5:30","1","0.69","",""
"01121N6121","BOLT","10/3/2015 5:30","1","1.77","",""
"01121N6141","BOLT-HEX,W/CON","1/31/2015 5:30","1","0.69","",""
"01121N6151","BOLT-HEX,W/CON","6/2/2015 5:30","1","2.06","",""
"01121N6211","BOLT-HEX,W/PW","1/31/2015 5:30","1","1.63","",""
"01121N6241","BOLT-HEX,W/PW.","10/3/2015 5:30","1","2.42","",""
