"Heavy Duty - Price List w.e.f 01/APR/2021","","","","","","",""
"Schaefﬂer Part No","Reference","Description","Application","DIA","USD","",""
"ASHOK LEYLAND LTD : LCV","","","","","","",""
"6243006090","","Clutch Set","Ashok Leyland Dost Plus","240","47.63","",""
"6244006000","","Repset","","240","51.07","",""
"6223447090","L-01622-0G63-01","Clutch Set","Ashok Leyland Dost Rigid axle","220","40.17","",""
"6223447000","","Repset","","220","44.00","",""
"6223414090","L-01622-0G63-00","Clutch Set","Leyland Dost 1.25 Tons - 1.5L TDCR (BS-III & BS-IV)","220","39.36","",""
"6223414000","","Repset ","","220","42.87","",""
"3220478100","L-03H22-0G79-00","Driven Plate","Leyland Dost 1.25 Tons - 1.5L TDCR (BS-III & BS-IV)","220","20.17","",""
"1280394100","L-01H28-0G40-03","Cover Assembly","Nissan Ashok Ley -Partner 613 T","280","47.12","",""
"3280685100","L-03H28-0H53-00","Driven Plate","Nissan Ashok Ley- Partner 613 T","280","51.07","",""
"6283308090","L-01628-0G40-03","Clutch Set","Nissan Ashok Leyland Partner 413T & 613T - 320 Nm","280","93.12","",""
"ASHOK LEYLAND LTD : M & HCV","","","","","","",""
"3310385100","L-03031-1024-00_AM","Driven Plate","Ashok Leyland - Sunlight GURU 1010, 1111, 1111 E4","  310 ","80.36","",""
"1310325100","L-01031-1002-01_AM","Cover Assembly","Ashok Leyland - Sunlight GURU 1010, 1111, 1111 E4","  310 ","94.76","",""
"6333231090","L-01633-0G14-01","Clutch Set","Ley Boss 1412 LE Clutch Set","330","149.13","",""
"1330294100","L-01H33-0G14-01","Cover Assembly","Ley Boss 1412 LE Cover Assembly","330","84.27","",""
"3330262100","L-03H33-0G20-07","Driven Plate","Ley Boss 1412 LE Driven Plate","330","69.21","",""
"4240021100","4240021100","Cover Assembly","Leyland 14""-4 Lever, Pressure Plate Assly","355","113.63","",""
"3350355100","L-03035-0G12-80","Driven Plate","Leyland 14"" - Cerametallic","355","71.20","",""
"3350288100","L-03035-0PL3-27","Driven Plate","To Suit CSCA Viking /Cheetah / Tusker 1613 / 2214 - 8 Spring (Organic AF-4059)","355","31.41","",""
"3350376100","L-03H35-0PL3-27","Driven Plate","To Suit CSCA Viking/Cheetah/Tusker 1613/2214 - 8 Spring (Organic AF-99)","355","28.80","",""
"3350365100","L-03H35-0PL3-22","Driven Plate","Ashok Leyland 14""(High Copper)","355","63.71","",""
"3350292100","L-03035-0PL3-31","Driven Plate","To Suit CSCA Viking/Cheetah/Tusker 1613/2214 - 8 Spring (RWC-GDY)","355","41.12","",""
"4240022100","4240022100","Cover Assembly","Leyland 15""-4 Lever, Pressure Plate Assly","380","120.79","",""
"3380215100","L-03038-0G04-80","Driven Plate","Leyland 15"" – Cerametallic","380","78.12","",""
"3380198100","L-03038-0PL0-11","Driven Plate","Leyland Taurus 2516 (6  4, 6  2) / Tipper/ Tusker (AF-4059)","380","40.84","",""
"3380203100","L-03038-0PL0-15","Driven Plate","Leyland Taurus 2516 (6  4, 6  2) / Tipper/ Tusker (RWC-GDY)","380","53.75","",""
"3380217100","L-03038-0G05-80","Driven Plate","Leyland 15"" - Cerametallic 1.75"" spline","380","83.69","",""
"4000582100","4000582100","Tools","Clutch lever height measuring tool - AL","","122.24","",""
"1310292100","L-01031-0P31-01","Cover Assembly","Leyland Iveco 709/ 909/ Cargo Model - 3.25 mm Thk","310","65.84","",""
"3310279100","L-03031-0H06-81","Driven Plate","Leyland Iveco 709/ 909/ Cargo Model (AF 4059)","310","39.22","",""
"3310249100","L-03031-0H06-80","Driven Plate","Leyland Iveco 709/ 909/ Cargo Model (RWC GDY)","310","51.42","",""
