"Brand","Part No","Part Desc","UNIT PRICE","",""
"VW GROUP","03D198819C","OIL FILTER POLO PETROL","1.24","",""
"VW GROUP","04E115561H","OIL FILTER","1.29","",""
"VW GROUP","6R0941511","MOUNTING CLIP","1.33","",""
"VW GROUP","5Z18575379B9","ORVM CAP OLD MODEL LH","1.44","",""
"VW GROUP","5Z1857538B9B9","ORVM CAP OLD MODEL RH","1.44","",""
"VW GROUP","6RF857537GRU","MIRROR CAP","3.98","",""
"VW GROUP","6RF857538GRU","MIRROR CAP","3.98","",""
"VW GROUP","036129620K","AIR FILTER ELEMENT","4.99","",""
"VW GROUP","04C129620E","AIRFILTER","4.99","",""
"VW GROUP","5JF129620A","AIRFILTER","4.99","",""
"VW GROUP","03L903137T","RIBBEDBELT FAN BELT DIESEL","5.91","",""
"VW GROUP","6RF129620","AIR FILTER ELEMENT","6.04","",""
"VW GROUP","G013040M2","COOLANT","6.62","",""
"VW GROUP","03C115561H","OIL FILTER VENTO PETROL","6.97","",""
"VW GROUP","03L115562","FILTERELEM","7.24","",""
"VW GROUP","03P115562","FILTERELEM","7.24","",""
"VW GROUP","1J0512149B","PACKING","7.24","",""
"VW GROUP","6R0820367","DUST AND POLLEN FILTER INSERT","9.27","",""
"VW GROUP","5Z0857511C9B9","MIRROR CABIN","10.38","",""
"VW GROUP","6Q0201051J","FUELFILTER","12.07","",""
"VW GROUP","03L109119E","TOOTH BELT","12.76","",""
"VW GROUP","1K0937629A","FUSE","13.22","",""
"VW GROUP","6RU698647","1 SET: GUIDE BUSHES","13.28","",""
"VW GROUP","03L103383DA","GASKET","17.98","",""
"VW GROUP","6RU845297CNVB","SIDE WINDOW","19.36","",""
"VW GROUP","02A141165M","RELEASE BEARING","21.22","",""
"VW GROUP","1J0412331C","MOUNTING","21.27","",""
"VW GROUP","6RF407625A","ANGULAR BALL BEARING","24.55","",""
"VW GROUP","6RF945112F","TAIL LIGHT WITH FOGLIGHT, RIGHT","27.82","",""
"VW GROUP","03L957147A","SENDER","32.05","",""
"VW GROUP","6RG945096G","TAIL LIGHT WITH FOGLIGHT","32.58","",""
"VW GROUP","6RF127400A","FUEL FILTER","33.19","",""
"VW GROUP","6RF945095H","TAILLIGHT NEW VENTO","35.62","",""
"VW GROUP","6RF945096K","TAILLIGHT NEW VENTO","35.62","",""
"VW GROUP","03L121065AJ","PIPE","35.70","",""
"VW GROUP","6RW945095","TAIL LIGHTS WITH REVERSING LIGHTS, LEFT","37.31","",""
"VW GROUP","6RW945096","TAIL LIGHT WITH FOGLIGHT, RIGHT","37.31","",""
"VW GROUP","6RF199262R","ENG.MOUNTI","40.78","",""
"VW GROUP","6RG941017","HALOGEN HEADLIGHTS","41.93","",""
"VW GROUP","6RG941018","HALOGEN HEADLIGHTS","41.93","",""
"VW GROUP","6R0827505E9B9","LATCH LID POLO","49.00","",""
"VW GROUP","03P121111E","THERMOSTAT ELBO","49.74","",""
"VW GROUP","03P103383H","GASKET","50.99","",""
"VW GROUP","WHT003861","SENSOR","56.13","",""
"VW GROUP","6RG941017A","HALOGEN HEADLIGHTS","57.04","",""
"VW GROUP","6RG941007","HEADLAMP","99.93","",""
"VW GROUP","03L130235AN","PIPE","113.06","",""
"VW GROUP","3G0857511ESMA","MIRROR","419.83","",""
"VW GROUP","6R0809561","BRACKET - FENDER","0.36","",""
"VW GROUP","867827500A","BUMPER","1.08","",""
"VW GROUP","6RG805931","BRACE","3.18","",""
"VW GROUP","6RG805932B","BRACE","3.18","",""
"VW GROUP","6RF412319","STOP","3.26","",""
"VW GROUP","6RG837205GRU","DOOR HANDLE, EXTERIOR","4.28","",""
"VW GROUP","101905601F","SPARK PLUG","4.36","",""
"VW GROUP","6RG805071B","MOUNTING FOR MAIN BEAM HEADL.","6.28","",""
"VW GROUP","6RG805072B","MOUNTING FOR MAIN BEAM HEADL.","6.28","",""
"VW GROUP","6RG8536779B9","GRILLE BUMPER OLD POLO BLACK","7.41","",""
"VW GROUP","6R0809857H","FUEL FILLER FLAP, RIGHT REAR","9.14","",""
"VW GROUP","6R0819703AFBIO","HOUSING AIR VENT","9.95","",""
"VW GROUP","6RU8059159B9","RETAINER FOR SPOILER","10.25","",""
"VW GROUP","6RG8059159B9","RETAINER","10.25","",""
"VW GROUP","6RU898393","1 SET OF GUIDE PROFILES","10.43","",""
"VW GROUP","6RG809957","WHEEL HOUSING LINER","10.62","",""
"VW GROUP","6RG809958","WHEEL HOUSING LINER","10.62","",""
"VW GROUP","1J0601171XRW","CAP","11.38","",""
"VW GROUP","6RF809957","WHEEL HOUSING LINER, LEFT FRONT","11.47","",""
"VW GROUP","6RF809958","WHEEL HOUSING LINER, RIGHT FRONT","11.47","",""
"VW GROUP","6R0407365B","GUIDE JOINT","11.66","",""
"VW GROUP","6R0407366B","GUIDE JOINT","11.66","",""
"VW GROUP","6C0858548A9B9","CAP","12.03","",""
"VW GROUP","6R0821141B","BRACKET","12.62","",""
"VW GROUP","6RF805915A9B9","RETAINER FOR SPOILER","12.99","",""
"VW GROUP","6R0819704AMVAL","AIR VENTS","13.35","",""
"VW GROUP","02T141153F","LEVER CLUTCH FORK WITH BEARING PETROL","14.79","",""
"VW GROUP","6RF423810","TRACK ROD","15.25","",""
"VW GROUP","6RF615301C","BRAKE DISC (VENTED)","19.89","",""
"VW GROUP","6Q0121407D","COOLENT BOTTLE","21.73","",""
"VW GROUP","6RF898661C","1 SET AIR GUIDE GRILLE","21.73","",""
"VW GROUP","6RD423811B","TIEROD END","22.71","",""
"VW GROUP","6R0819728BBWMV","AIR VENT","23.87","",""
"VW GROUP","6RF121207B","FAN RING","24.41","",""
"VW GROUP","6RF413031G","GAS SHOCK ABSORBER","26.74","",""
"VW GROUP","6RU698525","1 SET: BRAKE SHOES WITHLININGS","26.89","",""
"VW GROUP","6RU698151B","1 SET OF BRAKE PADS FOR DISCBRAKES","27.73","",""
"VW GROUP","6RU698525A","1 SET: BRAKE SHOES WITHLININGS","28.80","",""
"VW GROUP","6R0819728BCVAL","AIR VENT","29.06","",""
"VW GROUP","6RF413031F","GAS SHOCK ABSORBER","29.12","",""
"VW GROUP","03D141025D","CLUTCH POLO PETROL","29.28","",""
"VW GROUP","6RF407151B","TRACK CONTROL ARM, COMPLETE","29.40","",""
"VW GROUP","6RF407152B","TRACK CONTROL ARM, COMPLETE","29.40","",""
"VW GROUP","03D141031A","CLUTCH POLO PETROL","29.93","",""
"VW GROUP","6RF501611A","WHEEL HUB REAR","30.02","",""
"VW GROUP","1J0698151J","BRK LINING","32.69","",""
"VW GROUP","03D121005","WATER PUMP POLO PETROL","32.83","",""
"VW GROUP","03L121011P","WATER PUMP POLO DIESEL","32.86","",""
"VW GROUP","6RU609617","BRAKE DRUM","34.24","",""
"VW GROUP","03C141025K","CLUTCH VENTO PETORL","36.04","",""
"VW GROUP","6RW807221AGRU","COVER","37.71","",""
"VW GROUP","6R0411315","COUPLING ROD","40.04","",""
"VW GROUP","03C141031G","CLUTCH VENTO PETORL","40.97","",""
"VW GROUP","6RG807421CGRU","BUMPER COVER","41.14","",""
"VW GROUP","1S0698151A","BRK LINING","43.26","",""
"VW GROUP","6RF513025B","GAS SHOCK ABSORBER","43.83","",""
"VW GROUP","6RU807221GRU","BUMPER COVER","44.00","",""
"VW GROUP","6RF513025C","GAS SHOCK ABSORBER","44.18","",""
"VW GROUP","6RF807221GRU","FRONT BUMPER NEW VENTO","44.28","",""
"VW GROUP","6RW807421GRU","COVER","44.75","",""
"VW GROUP","03L141032G","CLUTCHDISC","44.78","",""
"VW GROUP","036905715H","IGNITION COIL WITHSPARK PLUG CONNECTOR","45.62","",""
"VW GROUP","6RG807221GRU","FRONT BUMPER OLD POLO","46.56","",""
"VW GROUP","6RU807421BGRU","COVER","46.87","",""
"VW GROUP","6RG807421AGRU","COVER","48.64","",""
"VW GROUP","6RF807421GRU","FRONT BUMPER","50.20","",""
"VW GROUP","6RF8536519B9","GRILLE","50.75","",""
"VW GROUP","6RF145805A","INTERCOOLER","50.87","",""
"VW GROUP","03P141031A","CLUTCHDISC POLO DIESEL","54.50","",""
"VW GROUP","03P141025","CLUTCH NEW 1.5","59.88","",""
"VW GROUP","6RG807217BGRU","FRONT BUMPER NEW POLO","62.68","",""
"VW GROUP","6RG805588L","LOCK CARRIER WITH MOUNTING FORCOOLANT RADIATOR","63.64","",""
"VW GROUP","6R0965561A","ADDITIONAL COOLANT PUMP","66.14","",""
"VW GROUP","6RF121253","COOLER FOR COOLANT","70.60","",""
"VW GROUP","03L141025R","CLUTCH","74.88","",""
"VW GROUP","6RF711049B","MECHANISM","77.59","",""
"VW GROUP","6RU823031B","HOOD","90.26","",""
"VW GROUP","6R0810135A","SIDE MEMBER FOR WHEEL HOUSING","97.32","",""
